wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-09-29 08:17:35.000000,load_video,None,,,,None,
2014-09-29 08:17:40.000000,load_video,None,,,,None,
2014-09-29 08:17:45.000000,load_video,None,,,,None,
2014-09-29 08:17:47.000000,play_video,0,,,,0,
2014-09-29 08:22:52.000000,stop_video,304.111263,,,,304.111263,
2014-09-29 08:22:52.000000,pause_video,304.111263,,,,304.111263,
2014-09-29 08:36:03.000000,load_video,None,,,,None,
2014-09-29 08:36:04.000000,play_video,0,,,,0,
2014-09-29 08:36:40.000000,pause_video,35.695505,,,,35.695505,
2014-10-04 07:52:56.000000,load_video,None,,,,None,
2014-10-04 07:53:02.000000,play_video,35,,,,35,
2014-10-04 07:53:23.000000,seek_video,,,,55.556142,,onSlideSeek
2014-10-04 07:53:23.000000,play_video,55.556142,,,,55.556142,
2014-10-04 07:53:24.000000,seek_video,,,,102.390169,,onSlideSeek
2014-10-04 07:53:25.000000,play_video,102.390169,,,,102.390169,
2014-10-04 07:53:26.000000,seek_video,,,,153.182568,,onSlideSeek
2014-10-04 07:53:26.000000,play_video,153.182568,,,,153.182568,
2014-10-04 07:53:27.000000,seek_video,,,,231.720169,,onSlideSeek
2014-10-04 07:53:27.000000,play_video,231.720169,,,,231.720169,
2014-10-04 07:54:10.000000,load_video,None,,,,None,
2014-10-04 07:54:14.000000,play_video,257.051639,,,,257.051639,
