wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-01 23:00:02.000000,load_video,None,,,,None,
2014-11-01 23:00:04.000000,play_video,0,,,,0,
2014-11-01 23:00:05.000000,play_video,0,,,,0,
2014-11-01 23:00:48.000000,pause_video,63.82119504,,,,63.82119504,
2014-11-01 23:02:29.000000,play_video,63.82119504,,,,63.82119504,
2014-11-01 23:04:32.000000,seek_video,,,,248.174212499,,onSlideSeek
2014-11-01 23:07:24.000000,seek_video,,,,248.174212499,,onSlideSeek
2014-11-01 23:07:26.000000,seek_video,,,,248.174212499,,onSlideSeek
2014-11-01 23:07:28.000000,seek_video,,,,248.174212499,,onSlideSeek
2014-11-01 23:07:29.000000,seek_video,,,,248.174212499,,onSlideSeek
2014-11-01 23:07:31.000000,seek_video,,,,248.174212499,,onSlideSeek
2014-11-01 23:07:33.000000,seek_video,,,,248.174212499,,onSlideSeek
2014-11-01 23:07:36.000000,seek_video,,,,248.174212499,,onSlideSeek
2014-11-01 23:07:40.000000,seek_video,,,,248.174212499,,onSlideSeek
2014-11-01 23:07:40.000000,play_video,248.174212499,,,,248.174212499,
2014-11-01 23:07:42.000000,seek_video,,,,271.644131171,,onSlideSeek
2014-11-01 23:07:43.000000,play_video,271.644131171,,,,271.644131171,
2014-11-01 23:07:43.000000,seek_video,,,,330.515056046,,onSlideSeek
2014-11-01 23:08:20.000000,pause_video,330.515056046,,,,330.515056046,
2014-11-01 23:08:23.000000,play_video,330.515056046,,,,330.515056046,
2014-11-01 23:08:34.000000,pause_video,427.338891219,,,,427.338891219,
2014-11-01 23:08:34.000000,play_video,427.338891219,,,,427.338891219,
2014-11-01 23:11:31.000000,pause_video,691.523346587,,,,691.523346587,
2014-11-01 23:11:34.000000,play_video,691.523346587,,,,691.523346587,
2014-11-01 23:11:40.000000,seek_video,,,,700.767219701,,onSlideSeek
2014-11-01 23:11:41.000000,seek_video,,,,700.767219701,,onSlideSeek
2014-11-01 23:11:45.000000,seek_video,,,,700.767219701,,onSlideSeek
2014-11-01 23:18:44.000000,pause_video,700.767219701,,,,700.767219701,
2014-11-01 23:22:15.000000,play_video,700.767219701,,,,700.767219701,
2014-11-01 23:22:21.000000,seek_video,,,,1314.35282171,,onSlideSeek
2014-11-01 23:22:23.000000,seek_video,,,,1314.35282171,,onSlideSeek
2014-11-01 23:22:25.000000,seek_video,,,,1314.35282171,,onSlideSeek
2014-11-01 23:23:07.000000,pause_video,1314.35282171,,,,1314.35282171,
2014-11-01 23:23:07.000000,play_video,1314.35282171,,,,1314.35282171,
2014-11-01 23:23:39.000000,seek_video,,,,1349.73621544,,onSlideSeek
2014-11-01 23:26:11.000000,pause_video,1349.73621544,,,,1349.73621544,
2014-11-01 23:26:11.000000,stop_video,1349.73621544,,,,1349.73621544,
2014-11-01 23:26:29.000000,load_video,None,,,,None,
