wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-02 03:50:45.000000,load_video,None,,,,None,
2014-11-02 03:50:47.000000,play_video,0,,,,0,
2014-11-02 03:50:48.000000,play_video,1.267066893,,,,1.267066893,
2014-11-26 08:09:47.000000,load_video,None,,,,None,
2014-11-26 08:09:49.000000,play_video,0,,,,0,
2014-11-26 08:09:50.000000,play_video,0.186592227,,,,0.186592227,
2014-11-26 08:09:57.000000,load_video,None,,,,None,
2014-11-26 08:09:59.000000,play_video,5.166066538,,,,5.166066538,
2014-11-26 08:09:59.000000,play_video,5.1660665,,,,5.1660665,
2014-11-26 08:23:29.000000,load_video,None,,,,None,
2014-11-26 08:23:32.000000,play_video,5,,,,5,
