wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-01 06:43:37.000000,load_video,None,,,,None,
2014-10-01 06:43:39.000000,play_video,0,,,,0,
2014-10-01 06:48:13.000000,pause_video,343.222418,,,,343.222418,
2014-10-04 22:32:33.000000,load_video,None,,,,None,
2014-10-04 22:32:46.000000,play_video,343,,,,343,
2014-10-04 22:42:37.000000,seek_video,,,,1081.537943,,onSlideSeek
2014-10-04 22:42:37.000000,play_video,1081.537943,,,,1081.537943,
2014-10-04 22:44:53.000000,pause_video,1213.282333,,,,1213.282333,
2014-10-04 22:44:53.000000,stop_video,1213.282333,,,,1213.282333,
2014-10-05 02:29:17.000000,load_video,None,,,,None,
2014-10-05 02:29:19.000000,play_video,0,,,,0,
2014-10-05 02:29:20.000000,seek_video,,,,0.709178,,onSlideSeek
2014-10-05 02:29:20.000000,play_video,0.709178,,,,0.709178,
2014-10-05 02:29:21.000000,seek_video,,,,162.572809,,onSlideSeek
2014-10-05 02:29:21.000000,play_video,162.572809,,,,162.572809,
2014-10-05 02:29:22.000000,seek_video,,,,249,,onSlideSeek
2014-10-05 02:29:22.000000,play_video,249,,,,249,
2014-10-05 02:29:22.000000,seek_video,,,,357.477479,,onSlideSeek
2014-10-05 02:29:22.000000,play_video,357.477479,,,,357.477479,
2014-10-05 02:29:24.000000,seek_video,,,,470.238975,,onSlideSeek
2014-10-05 02:29:24.000000,play_video,470.238975,,,,470.238975,
2014-10-05 02:29:25.000000,seek_video,,,,575.392439,,onSlideSeek
2014-10-05 02:29:25.000000,play_video,575.392439,,,,575.392439,
2014-10-05 02:29:26.000000,seek_video,,,,703.30458,,onSlideSeek
2014-10-05 02:29:27.000000,play_video,703.30458,,,,703.30458,
2014-10-05 02:29:27.000000,seek_video,,,,791.752297,,onSlideSeek
2014-10-05 02:29:28.000000,play_video,791.752297,,,,791.752297,
2014-10-05 02:29:28.000000,seek_video,,,,882.597056,,onSlideSeek
2014-10-05 02:29:29.000000,play_video,882.597056,,,,882.597056,
2014-10-05 02:29:30.000000,seek_video,,,,950.969351,,onSlideSeek
2014-10-05 02:29:30.000000,play_video,950.969351,,,,950.969351,
2014-10-05 02:29:31.000000,seek_video,,,,1042.431349,,onSlideSeek
2014-10-05 02:29:31.000000,play_video,1042.431349,,,,1042.431349,
2014-10-05 02:29:32.000000,pause_video,1107.828715,,,,1107.828715,
2014-10-05 02:30:40.000000,seek_video,,,,1107.828715,,onSlideSeek
2014-10-05 05:00:09.000000,seek_video,,,,1070,,onSlideSeek
2014-10-05 05:00:10.000000,seek_video,,,,1103,,onSlideSeek
2014-10-05 05:00:35.000000,seek_video,,,,1143,,onSlideSeek
2014-10-05 05:00:38.000000,seek_video,,,,1173,,onSlideSeek
2014-10-05 05:00:40.000000,seek_video,,,,589,,onSlideSeek
2014-10-05 05:00:41.000000,seek_video,,,,469,,onSlideSeek
2014-10-05 05:00:41.000000,pause_video,364,,,,364,
2014-10-11 23:21:23.000000,load_video,None,,,,None,
