wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-21 17:52:59.000000,load_video,None,,,,None,
2014-10-21 17:53:07.000000,play_video,0,,,,0,
2014-10-21 17:53:14.000000,speed_change_video,None,2.0,1.50,,None,
2014-10-21 17:53:15.000000,seek_video,,,,11.704511,,onSlideSeek
2014-10-21 17:53:16.000000,play_video,11.704511,,,,11.704511,
2014-10-21 17:53:17.000000,play_video,85.584747,,,,85.584747,
2014-10-21 17:53:17.000000,seek_video,,,,85.584747,,onSlideSeek
2014-10-21 17:53:49.000000,seek_video,,,,252.210133,,onSlideSeek
2014-10-21 17:53:49.000000,play_video,252.210133,,,,252.210133,
2014-10-21 17:53:50.000000,seek_video,,,,322.510884,,onSlideSeek
2014-10-21 17:53:50.000000,play_video,322.510884,,,,322.510884,
2014-10-21 17:53:51.000000,seek_video,,,,402.54675,,onSlideSeek
2014-10-21 17:53:51.000000,play_video,402.54675,,,,402.54675,
2014-10-21 17:53:56.000000,seek_video,,,,380.217687,,onSlideSeek
2014-10-21 17:53:56.000000,play_video,380.217687,,,,380.217687,
2014-10-21 17:54:12.000000,seek_video,,,,464.741132,,onSlideSeek
2014-10-21 17:54:13.000000,play_video,464.741132,,,,464.741132,
2014-10-21 17:54:23.000000,seek_video,,,,537.543729,,onSlideSeek
2014-10-21 17:54:23.000000,play_video,537.543729,,,,537.543729,
2014-10-21 17:54:47.000000,seek_video,,,,552.50955,,onSlideSeek
2014-10-21 17:54:47.000000,play_video,552.50955,,,,552.50955,
2014-10-21 17:54:50.000000,seek_video,,,,613.151026,,onSlideSeek
2014-10-21 17:54:50.000000,play_video,613.151026,,,,613.151026,
2014-10-21 17:54:58.000000,seek_video,,,,667.747222,,onSlideSeek
2014-10-21 17:54:58.000000,play_video,667.747222,,,,667.747222,
2014-10-21 17:54:58.000000,seek_video,,,,667.915438,,onSlideSeek
2014-10-21 17:54:59.000000,play_video,667.915438,,,,667.915438,
2014-10-21 17:54:59.000000,seek_video,,,,667.754827,,onSlideSeek
2014-10-21 17:54:59.000000,play_video,667.754827,,,,667.754827,
2014-10-21 17:55:24.000000,seek_video,,,,678.077947,,onSlideSeek
2014-10-21 17:55:25.000000,play_video,678.077947,,,,678.077947,
2014-10-21 17:55:44.000000,pause_video,742.670348,,,,742.670348,
2014-10-21 17:58:01.000000,play_video,742.670348,,,,742.670348,
2014-10-21 17:58:53.000000,seek_video,,,,846.949622,,onSlideSeek
2014-10-21 17:58:53.000000,play_video,846.949622,,,,846.949622,
2014-10-21 17:58:54.000000,seek_video,,,,845,,onSlideSeek
2014-10-21 17:58:54.000000,play_video,845,,,,845,
2014-10-21 17:58:56.000000,seek_video,,,,820.671037,,onSlideSeek
2014-10-21 17:58:57.000000,play_video,820.671037,,,,820.671037,
2014-10-21 17:58:59.000000,seek_video,,,,822.886666,,onSlideSeek
2014-10-21 17:58:59.000000,play_video,822.886666,,,,822.886666,
2014-10-21 17:58:59.000000,seek_video,,,,822,,onSlideSeek
2014-10-21 17:59:00.000000,play_video,822,,,,822,
2014-10-21 17:59:02.000000,seek_video,,,,785.510038,,onSlideSeek
2014-10-21 17:59:02.000000,play_video,785.510038,,,,785.510038,
2014-10-21 18:00:35.000000,seek_video,,,,935.991424,,onSlideSeek
2014-10-21 18:00:35.000000,play_video,935.991424,,,,935.991424,
2014-10-21 18:00:43.000000,seek_video,,,,910.885473,,onSlideSeek
2014-10-21 18:00:43.000000,play_video,910.885473,,,,910.885473,
2014-10-21 18:03:59.000000,pause_video,1336.462554,,,,1336.462554,
2014-10-21 18:03:59.000000,stop_video,1336.462554,,,,1336.462554,
