wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-13 03:26:35.000000,load_video,None,,,,None,
2014-10-13 03:26:39.000000,play_video,0,,,,0,
2014-10-13 03:26:42.000000,seek_video,,,,1.970597,,onSlideSeek
2014-10-13 03:26:42.000000,play_video,1.970597,,,,1.970597,
2014-10-13 03:26:42.000000,seek_video,,,,17.449505,,onSlideSeek
2014-10-13 03:26:42.000000,play_video,17.449505,,,,17.449505,
2014-10-13 03:26:43.000000,seek_video,,,,44.232649,,onSlideSeek
2014-10-13 03:26:43.000000,play_video,44.232649,,,,44.232649,
2014-10-13 03:26:44.000000,seek_video,,,,77.884315,,onSlideSeek
2014-10-13 03:26:44.000000,play_video,77.884315,,,,77.884315,
2014-10-13 03:26:45.000000,seek_video,,,,99.978724,,onSlideSeek
2014-10-13 03:26:46.000000,play_video,99.978724,,,,99.978724,
2014-10-13 03:26:46.000000,seek_video,,,,121.658019,,onSlideSeek
2014-10-13 03:26:47.000000,play_video,121.658019,,,,121.658019,
2014-10-13 03:26:47.000000,seek_video,,,,150.418601,,onSlideSeek
2014-10-13 03:26:47.000000,play_video,150.418601,,,,150.418601,
2014-10-13 03:26:48.000000,seek_video,,,,181.335657,,onSlideSeek
2014-10-13 03:26:48.000000,play_video,181.335657,,,,181.335657,
2014-10-13 03:26:49.000000,seek_video,,,,208.503507,,onSlideSeek
2014-10-13 03:26:49.000000,play_video,208.503507,,,,208.503507,
2014-10-13 03:26:50.000000,seek_video,,,,232.536384,,onSlideSeek
2014-10-13 03:26:50.000000,play_video,232.536384,,,,232.536384,
