wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-20 04:27:34.000000,load_video,None,,,,None,
2014-10-20 04:27:36.000000,play_video,0,,,,0,
2014-10-20 04:32:59.000000,seek_video,,,,403.986722,,onSlideSeek
2014-10-20 04:32:59.000000,play_video,403.986722,,,,403.986722,
2014-10-20 04:33:01.000000,seek_video,,,,248.871979,,onSlideSeek
2014-10-20 04:33:01.000000,play_video,248.871979,,,,248.871979,
2014-10-20 04:33:03.000000,seek_video,,,,189.658194,,onSlideSeek
2014-10-20 04:33:03.000000,play_video,189.658194,,,,189.658194,
2014-10-20 04:33:04.000000,seek_video,,,,150.957093,,onSlideSeek
2014-10-20 04:33:04.000000,play_video,150.957093,,,,150.957093,
2014-10-20 04:33:07.000000,seek_video,,,,217.47248,,onSlideSeek
2014-10-20 04:33:08.000000,play_video,217.47248,,,,217.47248,
2014-10-20 04:35:50.000000,seek_video,,,,455.348184,,onSlideSeek
2014-10-20 04:35:51.000000,play_video,455.348184,,,,455.348184,
2014-10-20 04:35:51.000000,seek_video,,,,454.541055,,onSlideSeek
2014-10-20 04:35:51.000000,play_video,454.541055,,,,454.541055,
2014-10-20 04:37:00.000000,seek_video,,,,518.919609,,onSlideSeek
2014-10-20 04:37:00.000000,play_video,518.919609,,,,518.919609,
2014-10-20 04:37:02.000000,seek_video,,,,488.093658,,onSlideSeek
2014-10-20 04:37:02.000000,play_video,488.093658,,,,488.093658,
2014-10-20 04:40:14.000000,pause_video,700.412125,,,,700.412125,
2014-10-20 04:40:51.000000,play_video,700.412125,,,,700.412125,
2014-10-20 04:45:01.000000,pause_video,1012.373597,,,,1012.373597,
