wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-09-28 07:44:27.000000,load_video,None,,,,None,
2014-09-28 07:44:30.000000,play_video,0,,,,0,
2014-09-28 07:44:36.000000,pause_video,8.467079,,,,8.467079,
2014-09-28 08:27:47.000000,load_video,None,,,,None,
2014-09-28 08:27:48.000000,play_video,8.467079,,,,8.467079,
2014-09-28 08:28:23.000000,seek_video,,,,61.489214,,onCaptionSeek
2014-09-28 08:28:23.000000,play_video,61.489214,,,,61.489214,
2014-09-28 08:29:15.000000,speed_change_video,None,2.0,1.50,,None,
2014-09-28 08:30:38.000000,pause_video,304.005653,,,,304.005653,
2014-09-28 08:30:38.000000,stop_video,304.005653,,,,304.005653,
