wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-11 09:38:54.000000,load_video,None,,,,None,
2014-12-11 09:39:46.000000,load_video,None,,,,None,
2014-12-11 09:39:48.000000,play_video,0,,,,0,
2014-12-11 09:39:52.000000,seek_video,,,,8.814295,,onSlideSeek
2014-12-11 09:39:53.000000,play_video,9.278685,,,,9.278685,
2014-12-11 09:40:45.000000,pause_video,111.642733,,,,111.642733,
2014-12-11 16:02:33.000000,play_video,111.642733,,,,111.642733,
2014-12-11 16:02:34.000000,pause_video,113.039947,,,,113.039947,
2014-12-11 16:02:40.000000,play_video,113.039947,,,,113.039947,
2014-12-11 16:04:52.000000,pause_video,378.207863,,,,378.207863,
