video_current_time,pause_time
0,0
258,0
131,0
277,0
262,0
7,0
108,0
395,0
140,0
557,0
274,0
147,0
404,0
149,0
150,16.0
281,0
409,0
26,0
155,0
44,0
291,0
582,0
423,0
391,0
300,0
429,0
174,0.0
175,0
179,0
53,0
310,0
695,129.0
244,0
315,0
572,0
190,0
309,0
449,0
322,0
324,0
710,0
71,0
460,1674.0
589,292.0
206,0
79,0
352,0
210,0
595,0
86,0
181,179.0
222,0
95,0
224,0
353,0
355,0
229,0
231,0
357,0
363,0
364,0
191,0
110,0
157,0
123,0
372,0
187,0
494,386.0
127,0
382,0
383,0
