wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-10 19:25:46.000000,load_video,None,,,,None,
2014-12-10 19:25:56.000000,play_video,0,,,,0,
2014-12-10 19:47:54.000000,pause_video,1966.871591,,,,1966.871591,
2014-12-10 19:47:54.000000,stop_video,1966.871591,,,,1966.871591,
2014-12-10 19:58:44.000000,load_video,None,,,,None,
2014-12-10 19:59:05.000000,load_video,None,,,,None,
2014-12-10 20:01:18.000000,load_video,None,,,,None,
2014-12-10 20:01:29.000000,load_video,None,,,,None,
2014-12-10 20:01:39.000000,load_video,None,,,,None,
2014-12-10 20:01:43.000000,seek_video,,,,1966,,onSlideSeek
2014-12-10 20:01:45.000000,play_video,446,,,,446,
2014-12-10 20:01:48.000000,pause_video,448.608366,,,,448.608366,
2014-12-10 20:02:15.000000,load_video,None,,,,None,
2014-12-10 20:24:40.000000,seek_video,,,,448.608366,,onSlideSeek
2014-12-10 20:24:42.000000,seek_video,,,,485,,onSlideSeek
2014-12-10 20:24:44.000000,seek_video,,,,585,,onSlideSeek
2014-12-10 20:24:45.000000,seek_video,,,,657,,onSlideSeek
2014-12-10 20:24:50.000000,seek_video,,,,748,,onSlideSeek
2014-12-10 20:24:51.000000,seek_video,,,,837,,onSlideSeek
2014-12-10 20:25:58.000000,seek_video,,,,746,,onSlideSeek
2014-12-10 20:26:00.000000,seek_video,,,,840,,onSlideSeek
2014-12-10 20:26:01.000000,seek_video,,,,893,,onSlideSeek
2014-12-10 20:26:03.000000,seek_video,,,,900,,onSlideSeek
2014-12-10 20:26:04.000000,seek_video,,,,931,,onSlideSeek
2014-12-10 20:26:06.000000,seek_video,,,,984,,onSlideSeek
2014-12-10 20:26:07.000000,seek_video,,,,1027,,onSlideSeek
2014-12-10 20:26:12.000000,seek_video,,,,1171,,onSlideSeek
2014-12-10 20:26:14.000000,seek_video,,,,1211,,onSlideSeek
2014-12-10 20:26:15.000000,seek_video,,,,1256,,onSlideSeek
2014-12-10 20:28:03.000000,seek_video,,,,1277,,onSlideSeek
2014-12-10 20:28:04.000000,seek_video,,,,1379,,onSlideSeek
2014-12-10 20:28:05.000000,seek_video,,,,1420,,onSlideSeek
2014-12-10 20:44:04.000000,seek_video,,,,1458,,onSlideSeek
2014-12-10 20:44:05.000000,seek_video,,,,716,,onSlideSeek
2014-12-10 20:44:05.000000,pause_video,576,,,,576,
2014-12-10 20:44:08.000000,seek_video,,,,576,,onSlideSeek
2014-12-10 20:44:09.000000,pause_video,383,,,,383,
2014-12-10 20:44:10.000000,seek_video,,,,383,,onSlideSeek
2014-12-10 20:44:10.000000,pause_video,380,,,,380,
2014-12-10 20:44:10.000000,seek_video,,,,380,,onSlideSeek
2014-12-10 20:44:11.000000,pause_video,466,,,,466,
2014-12-10 20:44:11.000000,seek_video,,,,466,,onSlideSeek
2014-12-10 20:44:11.000000,pause_video,447,,,,447,
2014-12-10 21:14:09.000000,load_video,None,,,,None,
2014-12-10 21:14:12.000000,seek_video,,,,447,,onSlideSeek
2014-12-10 21:14:14.000000,play_video,1286,,,,1286,
2014-12-10 21:14:18.000000,pause_video,1291.011567,,,,1291.011567,
