wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-08 20:43:55.000000,load_video,None,,,,None,
2014-12-08 20:44:01.000000,speed_change_video,None,1.25,2.0,,None,
2014-12-08 20:44:02.000000,play_video,0,,,,0,
2014-12-08 20:44:12.000000,pause_video,12.478415,,,,12.478415,
2014-12-08 20:44:23.000000,play_video,12.478415,,,,12.478415,
2014-12-08 20:44:23.000000,seek_video,,,,13.493016,,onSlideSeek
2014-12-08 20:44:24.000000,play_video,13.493016,,,,13.493016,
2014-12-08 20:44:54.000000,pause_video,37.292833,,,,37.292833,
2014-12-08 20:48:57.000000,play_video,37.292833,,,,37.292833,
2014-12-08 20:49:17.000000,pause_video,61.238984,,,,61.238984,
2014-12-08 20:49:38.000000,play_video,61.238984,,,,61.238984,
2014-12-08 20:51:31.000000,pause_video,203.225092,,,,203.225092,
2014-12-08 20:51:31.000000,stop_video,203.225092,,,,203.225092,
