wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-08 21:42:24.000000,load_video,None,,,,None,
2014-12-08 21:43:40.000000,load_video,None,,,,None,
2014-12-08 21:43:41.000000,play_video,0,,,,0,
2014-12-08 21:43:44.000000,speed_change_video,None,1.50,1.25,,None,
2014-12-08 21:48:54.000000,seek_video,,,,467.884496,,onSlideSeek
2014-12-08 21:48:54.000000,play_video,467.884496,,,,467.884496,
2014-12-08 21:48:55.000000,seek_video,,,,424.971406,,onSlideSeek
2014-12-08 21:48:55.000000,play_video,424.971406,,,,424.971406,
2014-12-08 21:48:56.000000,seek_video,,,,387.459014,,onSlideSeek
2014-12-08 21:48:57.000000,play_video,387.459014,,,,387.459014,
2014-12-08 21:53:03.000000,pause_video,713.602643,,,,713.602643,
2014-12-08 21:53:04.000000,stop_video,713.602643,,,,713.602643,
