wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-11 18:07:15.000000,load_video,None,,,,None,
2014-10-11 18:07:16.000000,play_video,0,,,,0,
2014-10-11 18:08:22.000000,seek_video,,,,130.556623,,onSlideSeek
2014-10-11 18:08:22.000000,play_video,130.556623,,,,130.556623,
2014-10-11 18:08:24.000000,speed_change_video,None,1.25,2.0,,None,
2014-10-11 18:08:26.000000,seek_video,,,,119.717128,,onSlideSeek
2014-10-11 18:08:26.000000,play_video,119.717128,,,,119.717128,
2014-10-11 18:08:45.000000,pause_video,121.161377,,,,121.161377,
2014-10-11 18:09:00.000000,seek_video,,,,121.161377,,onSlideSeek
2014-10-11 18:09:03.000000,seek_video,,,,97,,onSlideSeek
2014-10-11 18:09:04.000000,play_video,81,,,,81,
2014-10-11 18:10:16.000000,pause_video,170.692064,,,,170.692064,
2014-10-11 18:10:25.000000,play_video,170.692064,,,,170.692064,
2014-10-11 18:10:45.000000,speed_change_video,None,1.50,1.25,,None,
2014-10-11 18:11:37.000000,speed_change_video,None,2.0,1.50,,None,
2014-10-11 18:14:13.000000,speed_change_video,None,1.50,2.0,,None,
2014-10-11 18:15:02.000000,pause_video,659.249875,,,,659.249875,
2014-10-11 18:16:30.000000,play_video,659.249875,,,,659.249875,
2014-10-11 18:17:47.000000,pause_video,773.972353,,,,773.972353,
2014-10-11 18:17:47.000000,stop_video,773.972353,,,,773.972353,
2014-10-21 06:13:58.000000,load_video,None,,,,None,
2014-10-21 06:14:00.000000,play_video,773,,,,773,
2014-10-21 06:14:01.000000,pause_video,774.007507,,,,774.007507,
2014-10-21 06:14:01.000000,stop_video,774.007507,,,,774.007507,
2014-10-21 06:14:02.000000,play_video,774.007507,,,,774.007507,
2014-10-21 06:14:02.000000,play_video,0,,,,0,
2014-10-21 06:14:07.000000,speed_change_video,None,1.25,1.50,,None,
2014-10-21 06:15:06.000000,seek_video,,,,81.299071,,onSlideSeek
2014-10-21 06:15:06.000000,play_video,81.299071,,,,81.299071,
2014-10-21 06:15:33.000000,pause_video,73.865133,,,,73.865133,
2014-10-21 06:15:49.000000,play_video,73.865133,,,,73.865133,
2014-10-21 06:16:09.000000,pause_video,99.287433,,,,99.287433,
2014-10-21 06:20:03.000000,play_video,99.287433,,,,99.287433,
2014-10-21 06:20:30.000000,seek_video,,,,134.09141,,onSlideSeek
2014-10-21 06:20:31.000000,play_video,134.09141,,,,134.09141,
2014-10-21 06:20:32.000000,seek_video,,,,120.150629,,onSlideSeek
2014-10-21 06:20:32.000000,play_video,120.150629,,,,120.150629,
2014-10-21 06:20:51.000000,pause_video,121.510793,,,,121.510793,
2014-10-21 06:21:32.000000,play_video,121.510793,,,,121.510793,
2014-10-21 06:21:35.000000,seek_video,,,,125.864395,,onSlideSeek
2014-10-21 06:21:35.000000,play_video,125.864395,,,,125.864395,
2014-10-21 06:21:39.000000,seek_video,,,,115.017931,,onSlideSeek
2014-10-21 06:21:39.000000,play_video,115.017931,,,,115.017931,
2014-10-21 06:21:42.000000,seek_video,,,,101.25661,,onSlideSeek
2014-10-21 06:21:43.000000,play_video,101.25661,,,,101.25661,
2014-10-21 06:22:39.000000,pause_video,160.218335,,,,160.218335,
2014-10-21 06:23:17.000000,play_video,160.218335,,,,160.218335,
2014-10-21 06:26:03.000000,pause_video,367.395336,,,,367.395336,
2014-10-21 06:26:43.000000,play_video,367.395336,,,,367.395336,
2014-10-21 06:30:41.000000,pause_video,664.134579,,,,664.134579,
2014-10-21 06:30:56.000000,play_video,664.134579,,,,664.134579,
2014-10-21 06:30:57.000000,pause_video,665.222075,,,,665.222075,
2014-10-21 06:31:34.000000,play_video,665.222075,,,,665.222075,
2014-10-21 06:32:04.000000,pause_video,702.757038,,,,702.757038,
2014-10-21 06:32:48.000000,play_video,702.757038,,,,702.757038,
2014-10-21 06:33:12.000000,pause_video,733.0597,,,,733.0597,
2014-10-21 06:33:41.000000,play_video,733.0597,,,,733.0597,
2014-10-21 06:34:14.000000,pause_video,773.94243,,,,773.94243,
2014-10-21 06:34:14.000000,stop_video,773.94243,,,,773.94243,
2014-10-21 07:18:53.000000,load_video,None,,,,None,
2014-10-21 07:18:55.000000,play_video,773,,,,773,
2014-10-21 07:18:56.000000,pause_video,773.985198,,,,773.985198,
2014-10-21 07:18:56.000000,stop_video,773.985198,,,,773.985198,
2014-10-21 07:18:59.000000,seek_video,,,,773.985198,,onSlideSeek
2014-10-21 07:18:59.000000,play_video,655,,,,655,
