wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-22 03:57:38.000000,load_video,None,,,,None,
2014-10-22 03:57:44.000000,play_video,0,,,,0,
2014-10-22 03:57:49.000000,speed_change_video,None,2.0,1.50,,None,
2014-10-22 03:57:53.000000,pause_video,14.859352,,,,14.859352,
2014-10-22 03:57:54.000000,play_video,14.859352,,,,14.859352,
2014-10-22 03:57:58.000000,pause_video,22.806269,,,,22.806269,
2014-10-22 03:58:00.000000,speed_change_video,None,1.0,2.0,,None,
2014-10-22 03:58:01.000000,play_video,22.806269,,,,22.806269,
2014-10-22 03:58:04.000000,pause_video,26.147544,,,,26.147544,
2014-10-22 03:58:07.000000,speed_change_video,None,2.0,1.0,,None,
2014-10-22 03:59:11.000000,play_video,26.147544,,,,26.147544,
2014-10-22 03:59:43.000000,pause_video,86.925755,,,,86.925755,
2014-10-22 04:00:24.000000,play_video,86.925755,,,,86.925755,
2014-10-22 04:01:13.000000,pause_video,182.19983,,,,182.19983,
2014-10-22 04:01:24.000000,play_video,182.19983,,,,182.19983,
2014-10-22 04:01:35.000000,pause_video,205.583984,,,,205.583984,
2014-10-22 04:01:54.000000,seek_video,,,,205.583984,,onSlideSeek
2014-10-22 04:01:56.000000,pause_video,24,,,,24,
2014-10-22 04:01:56.000000,play_video,24,,,,24,
2014-10-22 04:02:07.000000,seek_video,,,,46.669638,,onSlideSeek
2014-10-22 04:02:08.000000,play_video,46.669638,,,,46.669638,
2014-10-22 04:02:09.000000,seek_video,,,,15.578475,,onSlideSeek
2014-10-22 04:02:10.000000,play_video,15.578475,,,,15.578475,
2014-10-22 04:03:27.000000,pause_video,164.967731,,,,164.967731,
2014-10-22 04:03:56.000000,play_video,164.967731,,,,164.967731,
2014-10-22 04:04:34.000000,pause_video,239.751243,,,,239.751243,
2014-10-22 04:04:51.000000,play_video,239.751243,,,,239.751243,
2014-10-22 04:06:31.000000,seek_video,,,,439.945455,,onSlideSeek
2014-10-22 04:06:32.000000,play_video,439.945455,,,,439.945455,
2014-10-22 04:06:34.000000,speed_change_video,None,1.50,2.0,,None,
2014-10-22 04:07:22.000000,pause_video,438.283432,,,,438.283432,
2014-10-22 04:07:56.000000,play_video,438.283432,,,,438.283432,
2014-10-22 04:09:39.000000,pause_video,592.457751,,,,592.457751,
2014-10-22 04:09:52.000000,play_video,592.457751,,,,592.457751,
2014-10-22 04:11:23.000000,pause_video,728.234318,,,,728.234318,
2014-10-22 04:11:58.000000,play_video,728.234318,,,,728.234318,
2014-10-22 04:12:45.000000,pause_video,797.887982,,,,797.887982,
2014-10-22 04:12:59.000000,play_video,797.887982,,,,797.887982,
2014-10-22 04:15:03.000000,pause_video,983.686832,,,,983.686832,
2014-10-22 04:15:06.000000,play_video,983.686832,,,,983.686832,
