wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-17 00:48:01.000000,load_video,None,,,,None,
2014-10-17 00:48:03.000000,play_video,0,,,,0,
2014-10-17 00:49:31.000000,speed_change_video,None,1.25,1.0,,None,
2014-10-17 00:51:13.000000,seek_video,,,,215.898393,,onSlideSeek
2014-10-17 00:51:14.000000,play_video,215.898393,,,,215.898393,
2014-10-17 00:51:16.000000,seek_video,,,,180.008932,,onSlideSeek
2014-10-17 00:51:16.000000,play_video,180.008932,,,,180.008932,
2014-10-17 00:52:26.000000,pause_video,249.803356,,,,249.803356,
2014-10-17 00:53:09.000000,play_video,249.803356,,,,249.803356,
2014-10-17 00:54:31.000000,pause_video,352.598951,,,,352.598951,
2014-10-17 00:55:44.000000,play_video,352.598951,,,,352.598951,
2014-10-17 00:58:13.000000,seek_video,,,,534.433236,,onSlideSeek
2014-10-17 00:58:13.000000,play_video,534.433236,,,,534.433236,
2014-10-17 00:59:05.000000,seek_video,,,,509.814947,,onCaptionSeek
2014-10-17 00:59:05.000000,play_video,509.814947,,,,509.814947,
2014-10-17 00:59:11.000000,seek_video,,,,505.237053,,onCaptionSeek
2014-10-17 00:59:11.000000,play_video,505.237053,,,,505.237053,
2014-10-17 00:59:23.000000,pause_video,494.832032,,,,494.832032,
2014-10-17 22:44:46.000000,play_video,494.832032,,,,494.832032,
2014-10-17 22:44:53.000000,seek_video,,,,503.447878,,onSlideSeek
2014-10-17 22:44:53.000000,play_video,503.447878,,,,503.447878,
2014-10-17 22:48:09.000000,seek_video,,,,375.627351,,onSlideSeek
2014-10-17 22:48:10.000000,play_video,375.627351,,,,375.627351,
2014-10-17 22:48:11.000000,seek_video,,,,317.235393,,onSlideSeek
2014-10-17 22:48:11.000000,play_video,317.235393,,,,317.235393,
2014-10-17 22:48:41.000000,seek_video,,,,298.723931,,onSlideSeek
2014-10-17 22:48:41.000000,play_video,298.723931,,,,298.723931,
2014-10-17 22:48:43.000000,seek_video,,,,219.818811,,onSlideSeek
2014-10-17 22:48:43.000000,play_video,219.818811,,,,219.818811,
2014-10-17 22:52:32.000000,seek_video,,,,531.31696,,onSlideSeek
2014-10-17 22:52:32.000000,play_video,531.31696,,,,531.31696,
2014-10-17 22:52:38.000000,seek_video,,,,523.513751,,onSlideSeek
2014-10-17 22:52:38.000000,play_video,523.513751,,,,523.513751,
2014-10-17 22:55:19.000000,seek_video,,,,673.44037,,onSlideSeek
2014-10-17 22:55:19.000000,play_video,673.44037,,,,673.44037,
2014-10-17 22:55:25.000000,seek_video,,,,598.749923,,onSlideSeek
2014-10-17 22:55:25.000000,play_video,598.749923,,,,598.749923,
2014-10-17 22:57:24.000000,seek_video,,,,765.896482,,onSlideSeek
2014-10-17 22:57:24.000000,play_video,765.896482,,,,765.896482,
2014-10-17 22:57:25.000000,seek_video,,,,763,,onSlideSeek
2014-10-17 22:57:25.000000,play_video,763,,,,763,
2014-10-17 22:57:26.000000,seek_video,,,,760.367168,,onSlideSeek
2014-10-17 22:57:26.000000,play_video,760.367168,,,,760.367168,
2014-10-17 22:58:05.000000,seek_video,,,,786.628245,,onSlideSeek
2014-10-17 22:58:05.000000,play_video,786.628245,,,,786.628245,
2014-10-17 22:58:37.000000,pause_video,802.831036,,,,802.831036,
2014-10-17 22:58:37.000000,stop_video,802.831036,,,,802.831036,
2014-10-23 00:13:48.000000,load_video,None,,,,None,
2014-10-23 01:24:53.000000,load_video,None,,,,None,
2014-10-23 01:24:55.000000,play_video,0,,,,0,
2014-10-23 01:24:59.000000,speed_change_video,None,2.0,1.25,,None,
2014-10-23 01:25:11.000000,speed_change_video,None,1.50,2.0,,None,
2014-10-23 01:26:26.000000,pause_video,140.782016,,,,140.782016,
2014-10-23 01:27:09.000000,play_video,140.782016,,,,140.782016,
2014-10-23 01:30:07.000000,pause_video,407.52791,,,,407.52791,
2014-10-23 01:34:45.000000,play_video,407.52791,,,,407.52791,
2014-10-23 01:35:22.000000,pause_video,462.78546,,,,462.78546,
2014-12-09 07:44:33.000000,load_video,None,,,,None,
2014-12-09 07:44:36.000000,play_video,462,,,,462,
2014-12-09 07:44:38.000000,seek_video,,,,465.6315,,onSlideSeek
2014-12-09 07:44:39.000000,play_video,465.6315,,,,465.6315,
2014-12-09 07:44:41.000000,seek_video,,,,11.3115,,onSlideSeek
2014-12-09 07:44:42.000000,play_video,11.3115,,,,11.3115,
2014-12-09 07:45:09.000000,pause_video,40.5915,,,,40.5915,
2014-12-09 07:54:13.000000,play_video,40.5915,,,,40.5915,
2014-12-09 07:54:52.000000,pause_video,97.872,,,,97.872,
