wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-08 04:28:33.000000,load_video,None,,,,None,
2014-12-08 07:14:41.000000,load_video,None,,,,None,
2014-12-08 07:40:36.000000,load_video,None,,,,None,
2014-12-08 07:40:37.000000,play_video,0,,,,0,
2014-12-08 07:41:18.000000,pause_video,50.46,,,,50.46,
2014-12-08 08:12:05.000000,play_video,50.46,,,,50.46,
2014-12-08 08:15:09.000000,pause_video,279.8475,,,,279.8475,
2014-12-08 08:15:14.000000,play_video,279.8475,,,,279.8475,
2014-12-08 08:15:17.000000,pause_video,283.82375,,,,283.82375,
2014-12-08 08:15:17.000000,play_video,283.82375,,,,283.82375,
2014-12-08 08:15:47.000000,pause_video,321.4225,,,,321.4225,
2014-12-08 08:15:50.000000,play_video,321.4225,,,,321.4225,
2014-12-08 08:18:39.000000,pause_video,533.02375,,,,533.02375,
2014-12-08 08:30:23.000000,play_video,533.02375,,,,533.02375,
2014-12-08 08:32:41.000000,seek_video,,,,705.7725,,onSlideSeek
2014-12-08 08:32:42.000000,play_video,705.7725,,,,705.7725,
2014-12-08 08:32:42.000000,seek_video,,,,729.8975,,onSlideSeek
2014-12-08 08:32:43.000000,play_video,729.8975,,,,729.8975,
2014-12-08 08:32:45.000000,seek_video,,,,761.0975,,onSlideSeek
2014-12-08 08:32:46.000000,play_video,761.0975,,,,761.0975,
2014-12-08 08:32:46.000000,seek_video,,,,760.9975,,onSlideSeek
2014-12-08 08:32:47.000000,play_video,760.9975,,,,760.9975,
2014-12-08 08:33:13.000000,pause_video,771.4475,,,,771.4475,
2014-12-08 09:23:56.000000,load_video,None,,,,None,
