wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-10 05:28:48.000000,load_video,None,,,,None,
2014-10-10 06:35:09.000000,load_video,None,,,,None,
2014-10-10 06:35:09.000000,play_video,0,,,,0,
2014-10-10 06:37:11.000000,seek_video,,,,152.125562,,onSlideSeek
2014-10-10 06:37:12.000000,play_video,152.125562,,,,152.125562,
2014-10-10 06:38:19.000000,seek_video,,,,206.765015,,onSlideSeek
2014-10-10 06:38:19.000000,play_video,206.765015,,,,206.765015,
2014-10-10 06:39:18.000000,seek_video,,,,262.027501,,onSlideSeek
2014-10-10 06:39:18.000000,play_video,262.027501,,,,262.027501,
2014-10-10 06:39:27.000000,pause_video,241.212504,,,,241.212504,
2014-10-10 06:43:43.000000,play_video,241.212504,,,,241.212504,
2014-10-10 06:43:47.000000,seek_video,,,,245.800442,,onSlideSeek
2014-10-10 06:43:47.000000,play_video,245.800442,,,,245.800442,
2014-10-10 06:43:50.000000,pause_video,238.627503,,,,238.627503,
2014-10-10 06:47:39.000000,play_video,238.627503,,,,238.627503,
2014-10-10 06:48:24.000000,seek_video,,,,293.870003,,onSlideSeek
2014-10-10 06:48:24.000000,play_video,293.870003,,,,293.870003,
2014-10-10 06:50:26.000000,pause_video,426.013755,,,,426.013755,
2014-10-10 06:50:27.000000,stop_video,426.013755,,,,426.013755,
2014-10-10 15:30:01.000000,load_video,None,,,,None,
2014-10-10 15:51:21.000000,load_video,None,,,,None,
2014-10-10 15:53:00.000000,play_video,0,,,,0,
2014-10-10 15:54:21.000000,load_video,None,,,,None,
2014-10-10 15:54:30.000000,seek_video,,,,105.24052,,onSlideSeek
2014-10-10 15:54:31.000000,seek_video,,,,6,,onSlideSeek
2014-10-10 16:02:10.000000,play_video,4,,,,4,
2014-10-10 16:05:41.000000,seek_video,,,,320.315019,,onSlideSeek
2014-10-10 16:05:41.000000,play_video,320.315019,,,,320.315019,
2014-10-10 16:05:43.000000,seek_video,,,,346.819825,,onSlideSeek
2014-10-10 16:05:44.000000,play_video,346.819825,,,,346.819825,
2014-10-10 16:06:25.000000,pause_video,425.868009,,,,425.868009,
2014-10-10 16:06:25.000000,stop_video,425.868009,,,,425.868009,
2014-10-10 16:26:10.000000,load_video,None,,,,None,
2014-10-10 16:26:12.000000,play_video,425,,,,425,
2014-10-10 16:26:13.000000,pause_video,426.123766,,,,426.123766,
2014-10-10 16:26:13.000000,stop_video,426.123766,,,,426.123766,
2014-10-10 16:26:14.000000,seek_video,,,,426.123766,,onSlideSeek
2014-10-10 16:26:14.000000,play_video,262,,,,262,
2014-10-10 16:26:15.000000,seek_video,,,,263.778768,,onSlideSeek
2014-10-10 16:26:16.000000,play_video,263.778768,,,,263.778768,
2014-10-10 16:26:18.000000,seek_video,,,,163.07757,,onSlideSeek
2014-10-10 16:26:18.000000,play_video,163.07757,,,,163.07757,
2014-10-10 16:26:22.000000,seek_video,,,,189.236251,,onSlideSeek
2014-10-10 16:26:27.000000,play_video,189.236251,,,,189.236251,
2014-10-10 16:26:38.000000,load_video,None,,,,None,
2014-10-10 16:26:40.000000,play_video,0,,,,0,
2014-10-10 16:26:41.000000,seek_video,,,,0.92627,,onSlideSeek
2014-10-10 16:26:41.000000,play_video,0.92627,,,,0.92627,
2014-10-10 16:26:42.000000,seek_video,,,,47.4065,,onSlideSeek
2014-10-10 16:26:42.000000,play_video,47.4065,,,,47.4065,
2014-10-10 16:26:43.000000,seek_video,,,,69.586255,,onSlideSeek
2014-10-10 16:26:43.000000,play_video,69.586255,,,,69.586255,
2014-10-10 16:26:45.000000,seek_video,,,,88.442513,,onSlideSeek
2014-10-10 16:26:45.000000,play_video,88.442513,,,,88.442513,
2014-10-10 16:26:47.000000,seek_video,,,,109.315009,,onSlideSeek
2014-10-10 16:26:47.000000,play_video,109.315009,,,,109.315009,
2014-10-10 16:26:48.000000,seek_video,,,,121.446266,,onSlideSeek
2014-10-10 16:26:48.000000,play_video,121.446266,,,,121.446266,
2014-10-10 16:26:49.000000,seek_video,,,,133.907513,,onSlideSeek
2014-10-10 16:26:49.000000,play_video,133.907513,,,,133.907513,
2014-10-10 16:26:51.000000,seek_video,,,,147.824812,,onSlideSeek
2014-10-10 16:26:51.000000,play_video,147.824812,,,,147.824812,
2014-10-10 16:26:54.000000,seek_video,,,,140.096253,,onSlideSeek
2014-10-10 16:26:54.000000,play_video,140.096253,,,,140.096253,
2014-10-10 16:27:03.000000,seek_video,,,,138.707514,,onSlideSeek
2014-10-10 16:27:04.000000,play_video,138.707514,,,,138.707514,
2014-10-10 16:27:04.000000,seek_video,,,,153.706052,,onSlideSeek
2014-10-10 16:27:05.000000,play_video,153.706052,,,,153.706052,
2014-10-10 16:27:05.000000,seek_video,,,,164.521256,,onSlideSeek
2014-10-10 16:27:06.000000,play_video,164.521256,,,,164.521256,
2014-10-10 16:27:06.000000,seek_video,,,,176.438765,,onSlideSeek
2014-10-10 16:27:06.000000,play_video,176.438765,,,,176.438765,
2014-10-10 16:27:08.000000,seek_video,,,,192.62998,,onSlideSeek
2014-10-10 16:27:08.000000,play_video,192.62998,,,,192.62998,
2014-10-10 16:27:09.000000,seek_video,,,,211.70956,,onSlideSeek
2014-10-10 16:27:09.000000,play_video,211.70956,,,,211.70956,
2014-10-10 16:27:10.000000,seek_video,,,,228.398754,,onSlideSeek
