video_current_time,pause_time
0,0
128,0.0
387,0
534,0.0
7,0
8,0
9,0
650,4.5
523,0
280,0
188,78.0
406,0
23,21.0
536,0
542,0
796,0
414,0
672,421.5
48,0
674,0
547,0
1,0
454,0
39,40.5
553,83.0
42,373.5
43,19785.0
45,0
687,0
432,0
689,0
691,0
53,3197.0
521,1.5
570,0.0
479,582.0
828,558.0
573,0
447,47.0
322,0
580,0
70,0
71,0
584,8.0
565,35.0
847,0
531,784.5
594,0
83,102.0
468,0
343,0
351,0
482,0
99,0
455,0
615,0
616,0
873,0
746,0
368,0
498,5.0
275,1263.0
766,45.0
617,0
762,75.0
508,0
126,0
