wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-25 03:58:26.000000,load_video,None,,,,None,
2014-11-25 03:58:46.000000,play_video,0,,,,0,
2014-11-25 03:58:49.000000,speed_change_video,None,1.25,1.0,,None,
2014-11-25 03:58:51.000000,speed_change_video,None,1.50,1.25,,None,
2014-12-08 04:20:13.000000,load_video,None,,,,None,
2014-12-08 04:20:27.000000,play_video,799,,,,799,
2014-12-08 04:20:27.000000,pause_video,799,,,,799,
2014-12-08 04:20:33.000000,play_video,799,,,,799,
2014-12-08 04:20:48.000000,pause_video,822.074315,,,,822.074315,
2014-12-08 04:20:48.000000,stop_video,822.074315,,,,822.074315,
