wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-30 06:08:35.000000,load_video,None,,,,None,
2014-11-30 06:08:42.000000,play_video,0,,,,0,
2014-11-30 06:09:03.000000,pause_video,20.480488,,,,20.480488,
2014-11-30 06:31:20.000000,play_video,20.480488,,,,20.480488,
2014-11-30 06:32:14.000000,pause_video,74.563345,,,,74.563345,
2014-11-30 06:33:05.000000,play_video,74.563345,,,,74.563345,
2014-11-30 06:33:12.000000,seek_video,,,,81.533075,,onSlideSeek
2014-11-30 06:33:12.000000,play_video,81.533075,,,,81.533075,
2014-11-30 06:33:14.000000,pause_video,70.093603,,,,70.093603,
2014-11-30 06:33:37.000000,play_video,70.093603,,,,70.093603,
2014-11-30 06:40:32.000000,pause_video,484.702623,,,,484.702623,
2014-11-30 06:40:32.000000,stop_video,484.702623,,,,484.702623,
2014-11-30 07:36:04.000000,load_video,None,,,,None,
2014-11-30 07:36:23.000000,play_video,0,,,,0,
2014-11-30 07:36:36.000000,seek_video,,,,13.132925,,onSlideSeek
2014-11-30 07:36:36.000000,play_video,13.132925,,,,13.132925,
2014-11-30 07:36:38.000000,seek_video,,,,16.533333,,onSlideSeek
2014-11-30 07:36:39.000000,play_video,16.533333,,,,16.533333,
2014-11-30 07:36:41.000000,seek_video,,,,21.399977,,onSlideSeek
2014-11-30 07:36:41.000000,play_video,21.399977,,,,21.399977,
2014-11-30 07:36:59.000000,seek_video,,,,41.534217,,onSlideSeek
2014-11-30 07:36:59.000000,play_video,41.534217,,,,41.534217,
2014-11-30 07:37:07.000000,seek_video,,,,51.199977,,onSlideSeek
2014-11-30 07:37:07.000000,play_video,51.199977,,,,51.199977,
2014-11-30 07:37:40.000000,seek_video,,,,84.266666,,onSlideSeek
2014-11-30 07:37:40.000000,play_video,84.266666,,,,84.266666,
2014-11-30 07:37:42.000000,seek_video,,,,89.933265,,onSlideSeek
2014-11-30 07:37:42.000000,play_video,89.933265,,,,89.933265,
2014-11-30 07:37:57.000000,seek_video,,,,107.932675,,onSlideSeek
2014-11-30 07:37:57.000000,play_video,107.932675,,,,107.932675,
2014-11-30 07:38:00.000000,seek_video,,,,115.933356,,onSlideSeek
2014-11-30 07:38:00.000000,play_video,115.933356,,,,115.933356,
2014-11-30 07:38:02.000000,seek_video,,,,121.265986,,onSlideSeek
2014-11-30 07:38:02.000000,play_video,121.265986,,,,121.265986,
2014-11-30 07:38:05.000000,seek_video,,,,127.6,,onSlideSeek
2014-11-30 07:38:05.000000,play_video,127.6,,,,127.6,
2014-11-30 07:38:11.000000,seek_video,,,,134.66746,,onSlideSeek
