video_current_time,pause_time
0,0
513,0
516,0
1029,0
1033,0
522,0
1035,0
532,0
536,0
556,0
562,0
1204,8.0
1087,0
576,0
578,0
1092,0
584,0
592,0
84,0
85,0
608,0
610,0
1124,0
101,0
619,0
625,0
630,0
1151,0
1152,0
657,4.0
1171,10.0
151,0
152,0
1177,0
1179,3.0
164,0
684,0
1197,0
692,0
1211,0
1213,0
190,0
192,0
705,93.0
194,0
707,0
709,0
716,0
721,0
724,0
727,0
222,0
735,0
743,0
748,0
749,0
760,0
766,0
776,0
215,0
782,0
278,0
284,0
797,0
808,0
810,0
814,0
819,0
821,0
311,18.0
313,0
832,0
834,0
325,0
329,0
851,0
855,0
859,0
870,6.0
360,0
873,0
231,0
368,0
380,0
897,0
900,0
905,0
1176,0
914,0
918,0
926,0
416,0
934,0
937,0
428,0
942,0
436,0
414,0
450,0
968,0
969,0
469,0
993,0
483,0
485,0
492,0
254,0
502,0
510,129.0
