wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-18 23:30:19.000000,load_video,None,,,,None,
2014-10-19 06:42:13.000000,load_video,None,,,,None,
2014-10-19 06:42:14.000000,play_video,0,,,,0,
2014-10-19 06:42:47.000000,pause_video,32.6661376953,,,,32.6661376953,
2014-10-19 06:43:36.000000,play_video,32.6661376953,,,,32.6661376953,
2014-10-19 06:43:55.000000,pause_video,51.6430740356,,,,51.6430740356,
2014-10-19 06:43:59.000000,play_video,51.6430740356,,,,51.6430740356,
2014-10-19 06:44:30.000000,stop_video,81.8575515747,,,,81.8575515747,
2014-10-19 06:44:30.000000,pause_video,81.8575515747,,,,81.8575515747,
2014-10-20 06:40:06.000000,load_video,None,,,,None,
