wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-26 18:16:11.000000,load_video,None,,,,None,
2014-12-26 18:16:14.000000,play_video,0,,,,0,
2014-12-26 18:16:17.000000,speed_change_video,None,1.50,2.0,,None,
2014-12-26 18:16:19.000000,speed_change_video,None,1.25,1.50,,None,
2014-12-26 18:16:21.000000,pause_video,10.794629,,,,10.794629,
2014-12-26 18:16:22.000000,play_video,10.794629,,,,10.794629,
2014-12-26 18:16:24.000000,pause_video,12.274853,,,,12.274853,
2014-12-26 18:16:28.000000,play_video,12.274853,,,,12.274853,
2014-12-26 18:16:31.000000,pause_video,16.076997,,,,16.076997,
2014-12-26 18:17:19.000000,play_video,16.076997,,,,16.076997,
2014-12-26 18:20:06.000000,pause_video,224.651941,,,,224.651941,
2014-12-26 18:23:52.000000,play_video,224.651941,,,,224.651941,
2014-12-26 18:25:56.000000,speed_change_video,None,1.50,1.25,,None,
2014-12-26 18:27:18.000000,pause_video,503.062522,,,,503.062522,
2014-12-26 18:27:19.000000,stop_video,503.062522,,,,503.062522,
