wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-13 02:56:28.000000,load_video,None,,,,None,
2014-10-13 02:56:31.000000,play_video,0,,,,0,
2014-10-13 02:56:32.000000,seek_video,,,,1.776595,,onSlideSeek
2014-10-13 02:56:33.000000,play_video,1.776595,,,,1.776595,
2014-10-13 02:56:35.000000,seek_video,,,,31.278069,,onSlideSeek
2014-10-13 02:56:35.000000,play_video,31.278069,,,,31.278069,
2014-10-13 02:56:38.000000,pause_video,10.674776,,,,10.674776,
2014-10-13 04:17:42.000000,load_video,None,,,,None,
2014-10-13 04:26:06.000000,load_video,None,,,,None,
2014-10-13 04:26:08.000000,play_video,10,,,,10,
2014-10-13 04:26:10.000000,seek_video,,,,12.910848,,onSlideSeek
2014-10-13 04:26:10.000000,play_video,12.910848,,,,12.910848,
2014-10-13 04:26:12.000000,seek_video,,,,457.284872,,onSlideSeek
2014-10-13 04:26:12.000000,play_video,457.284872,,,,457.284872,
2014-10-13 04:26:14.000000,seek_video,,,,405.253662,,onSlideSeek
2014-10-13 04:26:14.000000,play_video,405.253662,,,,405.253662,
2014-10-13 04:26:15.000000,seek_video,,,,307.294663,,onSlideSeek
2014-10-13 04:26:15.000000,play_video,307.294663,,,,307.294663,
2014-10-13 04:26:15.000000,seek_video,,,,253,,onSlideSeek
2014-10-13 04:26:15.000000,play_video,253,,,,253,
2014-10-13 04:26:16.000000,pause_video,214,,,,214,
2014-10-13 04:26:16.000000,play_video,214,,,,214,
2014-10-13 04:26:17.000000,seek_video,,,,215.424742,,onSlideSeek
2014-10-13 04:26:17.000000,play_video,215.424742,,,,215.424742,
2014-10-13 04:26:18.000000,seek_video,,,,146.326666,,onSlideSeek
2014-10-13 04:26:18.000000,play_video,146.326666,,,,146.326666,
2014-10-13 04:26:19.000000,seek_video,,,,111.068298,,onSlideSeek
2014-10-13 04:26:19.000000,play_video,111.068298,,,,111.068298,
2014-10-13 04:26:19.000000,seek_video,,,,54,,onSlideSeek
2014-10-13 04:26:20.000000,play_video,54,,,,54,
