wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-06 00:56:12.000000,load_video,None,,,,None,
2014-12-06 01:07:14.000000,load_video,None,,,,None,
2014-12-06 01:07:21.000000,load_video,None,,,,None,
2014-12-06 01:14:18.000000,load_video,None,,,,None,
2014-12-06 01:14:21.000000,play_video,0,,,,0,
2014-12-06 01:17:21.000000,pause_video,361.00724,,,,361.00724,
2014-12-06 03:14:32.000000,play_video,0,,,,0,
2014-12-06 03:15:32.000000,pause_video,118.296239,,,,118.296239,
2014-12-06 03:20:04.000000,play_video,118.296239,,,,118.296239,
2014-12-06 03:20:09.000000,pause_video,129.886466,,,,129.886466,
2014-12-06 03:20:18.000000,play_video,361.00724,,,,361.00724,
2014-12-06 03:20:55.000000,pause_video,435.393041,,,,435.393041,
2014-12-06 03:24:31.000000,play_video,435.393041,,,,435.393041,
2014-12-06 03:24:56.000000,pause_video,484.22901,,,,484.22901,
2014-12-06 03:24:56.000000,stop_video,484.22901,,,,484.22901,
