wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-10 05:05:40.000000,load_video,None,,,,None,
2014-10-10 05:05:51.000000,play_video,0,,,,0,
2014-10-10 05:07:07.000000,pause_video,114.861385,,,,114.861385,
2014-10-10 05:08:21.000000,play_video,114.861385,,,,114.861385,
2014-10-10 05:09:27.000000,pause_video,212.930013,,,,212.930013,
2014-10-10 05:09:27.000000,stop_video,212.930013,,,,212.930013,
2014-11-02 18:20:18.000000,load_video,None,,,,None,
2014-11-02 18:20:27.000000,play_video,212,,,,212,
2014-11-02 18:20:28.000000,pause_video,212.930014,,,,212.930014,
2014-11-02 18:20:28.000000,stop_video,212.930014,,,,212.930014,
2014-11-02 18:20:30.000000,seek_video,,,,212.930014,,onSlideSeek
2014-11-02 18:20:30.000000,play_video,2,,,,2,
2014-11-02 18:20:30.000000,pause_video,2,,,,2,
2014-11-02 18:20:31.000000,seek_video,,,,2,,onSlideSeek
2014-11-02 18:20:32.000000,play_video,0,,,,0,
2014-11-02 18:22:19.000000,pause_video,212.734399,,,,212.734399,
2014-11-02 18:22:19.000000,stop_video,212.734399,,,,212.734399,
2014-11-03 01:53:57.000000,load_video,None,,,,None,
