wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-01 15:44:57.000000,load_video,None,,,,None,
2014-10-01 15:45:01.000000,play_video,0,,,,0,
2014-10-01 15:45:14.000000,speed_change_video,None,1.0,1.50,,None,
2014-10-01 15:45:15.000000,speed_change_video,None,1.25,1.0,,None,
2014-10-01 15:45:17.000000,speed_change_video,None,1.50,1.25,,None,
2014-10-01 15:45:42.000000,pause_video,52.020022973,,,,52.020022973,
2014-10-01 15:48:15.000000,play_video,52.020022973,,,,52.020022973,
2014-10-01 15:49:07.000000,seek_video,,,,129.599912467,,onSlideSeek
2014-10-01 15:51:23.000000,pause_video,129.599912467,,,,129.599912467,
2014-10-01 15:51:25.000000,play_video,129.599912467,,,,129.599912467,
2014-10-01 15:51:39.000000,pause_video,266.725514288,,,,266.725514288,
2014-10-01 15:51:51.000000,play_video,266.725514288,,,,266.725514288,
2014-10-01 15:53:18.000000,seek_video,,,,386.625629263,,onSlideSeek
2014-10-01 15:53:22.000000,seek_video,,,,386.625629263,,onSlideSeek
2014-10-01 15:53:43.000000,pause_video,386.625629263,,,,386.625629263,
2014-10-01 15:53:52.000000,play_video,386.625629263,,,,386.625629263,
2014-10-01 15:54:35.000000,seek_video,,,,470.704481456,,onSlideSeek
2014-10-01 15:54:37.000000,seek_video,,,,470.704481456,,onSlideSeek
2014-10-01 15:54:40.000000,pause_video,470.704481456,,,,470.704481456,
2014-10-01 15:54:51.000000,play_video,470.704481456,,,,470.704481456,
2014-10-01 15:55:29.000000,seek_video,,,,497.472533373,,onSlideSeek
2014-10-01 15:55:33.000000,seek_video,,,,497.472533373,,onSlideSeek
2014-10-01 15:57:08.000000,stop_video,497.472533373,,,,497.472533373,
2014-10-01 15:57:08.000000,pause_video,497.472533373,,,,497.472533373,
2014-10-01 15:57:12.000000,play_video,497.472533373,,,,497.472533373,
2014-10-01 15:57:14.000000,seek_video,,,,2.0625471215,,onSlideSeek
2014-10-01 15:57:24.000000,seek_video,,,,2.0625471215,,onSlideSeek
2014-10-01 15:57:28.000000,pause_video,2.0625471215,,,,2.0625471215,
2014-10-01 15:57:50.000000,play_video,2.0625471215,,,,2.0625471215,
2014-10-02 03:04:26.000000,load_video,None,,,,None,
2014-10-02 03:04:39.000000,load_video,None,,,,None,
2014-10-02 03:47:29.000000,load_video,None,,,,None,
2014-10-02 03:47:31.000000,play_video,2,,,,2,
2014-10-02 03:47:32.000000,play_video,2,,,,2,
2014-10-02 03:47:32.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:47:34.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:47:36.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:47:37.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:47:39.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:47:55.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:47:57.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:48:02.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:48:15.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:48:17.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:48:22.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:48:23.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:48:24.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:48:25.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:48:59.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:49:01.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:49:03.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:49:05.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:49:07.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:49:09.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:49:10.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:49:12.000000,seek_video,,,,2,,onSlideSeek
2014-10-02 03:49:32.000000,pause_video,2,,,,2,
2014-10-02 03:51:00.000000,play_video,2,,,,2,
2014-10-02 03:51:02.000000,seek_video,,,,415.544023718,,onSlideSeek
2014-10-02 03:51:03.000000,seek_video,,,,415.544023718,,onSlideSeek
2014-10-02 03:51:09.000000,seek_video,,,,415.544023718,,onSlideSeek
