wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-26 17:20:29.000000,load_video,None,,,,None,
2014-11-26 17:20:35.000000,play_video,0,,,,0,
2014-11-26 17:20:38.000000,pause_video,2.575122104,,,,2.575122104,
2014-11-26 17:20:50.000000,play_video,2.575122104,,,,2.575122104,
2014-11-26 17:21:00.000000,pause_video,14.352301124,,,,14.352301124,
2014-11-26 17:21:20.000000,play_video,14.352301124,,,,14.352301124,
2014-11-26 17:21:30.000000,pause_video,26.969250586,,,,26.969250586,
2014-11-26 17:21:47.000000,play_video,26.969250586,,,,26.969250586,
2014-11-26 17:22:06.000000,pause_video,50.144311448,,,,50.144311448,
2014-11-26 17:22:16.000000,play_video,50.144311448,,,,50.144311448,
2014-11-26 17:22:25.000000,pause_video,62.22905575,,,,62.22905575,
2014-11-26 17:23:27.000000,play_video,62.22905575,,,,62.22905575,
2014-11-26 17:23:52.000000,pause_video,92.71162755,,,,92.71162755,
2014-11-26 17:24:02.000000,play_video,92.71162755,,,,92.71162755,
2014-11-26 17:24:12.000000,pause_video,103.841680417,,,,103.841680417,
2014-11-26 17:24:20.000000,play_video,103.841680417,,,,103.841680417,
2014-11-26 17:24:51.000000,seek_video,,,,142.612484377,,onSlideSeek
2014-11-26 17:24:54.000000,seek_video,,,,142.612484377,,onSlideSeek
2014-11-26 17:28:53.000000,pause_video,142.612484377,,,,142.612484377,
2014-11-26 17:28:53.000000,stop_video,142.612484377,,,,142.612484377,
2014-12-03 18:35:37.000000,load_video,None,,,,None,
2014-12-08 05:50:59.000000,load_video,None,,,,None,
2014-12-08 05:51:03.000000,play_video,142,,,,142,
2014-12-08 05:51:04.000000,play_video,142.752985163,,,,142.752985163,
2014-12-08 05:51:05.000000,seek_video,,,,143.9854073,,onSlideSeek
2014-12-08 05:51:06.000000,play_video,143.9854073,,,,143.9854073,
2014-12-08 05:51:12.000000,speed_change_video,None,1.0,1.50,,None,
2014-12-08 05:51:15.000000,speed_change_video,None,1.50,1.0,,None,
2014-12-08 05:51:48.000000,pause_video,62.525904906,,,,62.525904906,
2014-12-08 05:51:52.000000,play_video,62.525904906,,,,62.525904906,
2014-12-08 06:08:28.000000,load_video,None,,,,None,
2014-12-08 06:08:34.000000,play_video,62,,,,62,
2014-12-08 06:08:35.000000,play_video,62.332528492,,,,62.332528492,
2014-12-08 06:08:57.000000,pause_video,94.323369853,,,,94.323369853,
2014-12-08 16:11:48.000000,load_video,None,,,,None,
2014-12-08 16:11:51.000000,play_video,94,,,,94,
2014-12-08 16:11:51.000000,play_video,94.050812943,,,,94.050812943,
2014-12-08 16:11:52.000000,play_video,94.050812943,,,,94.050812943,
2014-12-08 16:11:56.000000,seek_video,,,,100.721955906,,onSlideSeek
2014-12-08 16:11:57.000000,play_video,100.721955906,,,,100.721955906,
2014-12-08 16:12:01.000000,speed_change_video,None,1.0,1.50,,None,
2014-12-08 16:12:02.000000,speed_change_video,None,1.50,1.0,,None,
2014-12-08 16:13:06.000000,load_video,None,,,,None,
2014-12-08 16:13:07.000000,play_video,94,,,,94,
2014-12-08 16:13:08.000000,play_video,94.046932124,,,,94.046932124,
2014-12-08 16:14:36.000000,pause_video,224.447212928,,,,224.447212928,
2014-12-08 16:14:41.000000,play_video,224.447212928,,,,224.447212928,
2014-12-08 16:14:48.000000,pause_video,234.63503308,,,,234.63503308,
2014-12-08 16:14:51.000000,play_video,234.63503308,,,,234.63503308,
2014-12-08 16:15:07.000000,pause_video,258.462596184,,,,258.462596184,
2014-12-08 16:15:16.000000,play_video,258.462596184,,,,258.462596184,
2014-12-08 16:15:31.000000,pause_video,280.465595604,,,,280.465595604,
2014-12-08 16:15:45.000000,play_video,280.465595604,,,,280.465595604,
2014-12-08 16:15:46.000000,pause_video,282.161478969,,,,282.161478969,
2014-12-08 16:16:55.000000,play_video,282.161478969,,,,282.161478969,
2014-12-08 16:17:10.000000,pause_video,304.600733724,,,,304.600733724,
2014-12-08 16:17:17.000000,play_video,304.600733724,,,,304.600733724,
2014-12-08 16:17:19.000000,pause_video,306.601968224,,,,306.601968224,
2014-12-08 16:17:25.000000,play_video,306.601968224,,,,306.601968224,
2014-12-09 06:21:46.000000,load_video,None,,,,None,
