wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-10 23:13:47.000000,load_video,None,,,,None,
2014-12-11 01:10:50.000000,play_video,0,,,,0,
2014-12-11 01:11:04.000000,pause_video,0,,,,0,
2014-12-11 01:11:05.000000,play_video,0,,,,0,
2014-12-11 01:14:01.000000,seek_video,,,,219.746688,,onSlideSeek
2014-12-11 01:14:01.000000,play_video,219.746688,,,,219.746688,
2014-12-11 01:14:02.000000,seek_video,,,,42.051269,,onSlideSeek
2014-12-11 01:14:02.000000,play_video,42.051269,,,,42.051269,
2014-12-11 01:20:10.000000,pause_video,503.080776,,,,503.080776,
2014-12-11 01:20:10.000000,stop_video,503.080776,,,,503.080776,
2014-12-11 01:20:15.000000,seek_video,,,,503.080776,,onCaptionSeek
2014-12-11 01:20:15.000000,play_video,499.24,,,,499.24,
2014-12-11 01:20:19.000000,pause_video,503.27225,,,,503.27225,
2014-12-11 01:20:19.000000,stop_video,503.27225,,,,503.27225,
2014-12-11 01:20:22.000000,seek_video,,,,503.27225,,onCaptionSeek
2014-12-11 01:20:22.000000,play_video,438.9,,,,438.9,
2014-12-11 01:20:59.000000,load_video,None,,,,None,
