wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-09-27 21:49:27.000000,load_video,None,,,,None,
2014-09-27 21:49:28.000000,play_video,0,,,,0,
2014-09-27 21:49:29.000000,pause_video,0.727066,,,,0.727066,
2014-09-27 21:51:16.000000,load_video,None,,,,None,
2014-09-28 00:23:13.000000,play_video,0,,,,0,
2014-09-28 00:24:05.000000,seek_video,,,,51.985018,,onCaptionSeek
2014-09-28 00:24:05.000000,play_video,51.985018,,,,51.985018,
2014-09-28 00:24:25.000000,seek_video,,,,61.005002,,onCaptionSeek
2014-09-28 00:24:25.000000,play_video,61.005002,,,,61.005002,
2014-09-28 00:24:56.000000,pause_video,85.268763,,,,85.268763,
2014-09-28 00:25:02.000000,play_video,85.268763,,,,85.268763,
2014-09-28 00:26:34.000000,seek_video,,,,177.095684,,onCaptionSeek
2014-09-28 00:26:34.000000,play_video,177.095684,,,,177.095684,
2014-09-28 00:26:35.000000,pause_video,168.095907,,,,168.095907,
2014-09-28 00:26:52.000000,play_video,168.095907,,,,168.095907,
2014-09-28 00:33:45.000000,seek_video,,,,581.399001,,onCaptionSeek
2014-09-28 00:33:45.000000,play_video,581.399001,,,,581.399001,
2014-09-28 00:46:43.000000,pause_video,1336.70916,,,,1336.70916,
2014-09-28 00:46:43.000000,stop_video,1336.70916,,,,1336.70916,
2014-09-28 00:48:38.000000,load_video,None,,,,None,
2014-09-28 00:48:40.000000,play_video,0,,,,0,
2014-09-28 00:48:41.000000,seek_video,,,,1.211682,,onSlideSeek
2014-09-28 00:48:42.000000,play_video,1.211682,,,,1.211682,
2014-09-28 00:48:47.000000,seek_video,,,,313.418395,,onSlideSeek
2014-09-28 00:48:48.000000,play_video,313.418395,,,,313.418395,
2014-09-28 00:49:14.000000,pause_video,227.646971,,,,227.646971,
2014-12-09 05:59:01.000000,load_video,None,,,,None,
