wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-17 06:04:43.000000,load_video,None,,,,None,
2014-10-17 06:04:45.000000,play_video,0,,,,0,
2014-10-17 06:09:15.000000,pause_video,404.037792,,,,404.037792,
2014-10-17 06:13:46.000000,play_video,404.037792,,,,404.037792,
2014-10-17 06:14:18.000000,pause_video,451.433755,,,,451.433755,
2014-10-22 10:13:06.000000,load_video,None,,,,None,
2014-10-22 17:24:55.000000,load_video,None,,,,None,
2014-10-22 17:24:57.000000,play_video,451,,,,451,
2014-10-22 17:25:03.000000,pause_video,458.662831,,,,458.662831,
2014-10-22 17:27:02.000000,play_video,458.662831,,,,458.662831,
2014-10-22 17:27:22.000000,pause_video,488.940413,,,,488.940413,
