wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-22 21:09:37.000000,load_video,None,,,,None,
2014-10-22 21:09:39.000000,play_video,0,,,,0,
2014-10-22 21:11:44.000000,load_video,None,,,,None,
2014-10-22 21:11:45.000000,play_video,34,,,,34,
2014-10-22 21:17:47.000000,seek_video,,,,575.352782,,onSlideSeek
2014-10-22 21:17:47.000000,play_video,575.352782,,,,575.352782,
2014-10-22 21:19:32.000000,seek_video,,,,747.958374,,onSlideSeek
2014-10-22 21:19:32.000000,play_video,747.958374,,,,747.958374,
2014-10-22 21:19:45.000000,seek_video,,,,807.736023,,onSlideSeek
2014-10-22 21:19:45.000000,play_video,807.736023,,,,807.736023,
2014-10-22 21:19:49.000000,seek_video,,,,852.437252,,onSlideSeek
2014-10-22 21:19:50.000000,play_video,852.437252,,,,852.437252,
2014-10-22 21:24:21.000000,seek_video,,,,1313.607287,,onSlideSeek
2014-10-22 21:24:22.000000,play_video,1313.607287,,,,1313.607287,
2014-10-22 21:24:48.000000,seek_video,,,,1401.405655,,onSlideSeek
2014-10-22 21:24:48.000000,play_video,1401.405655,,,,1401.405655,
2014-10-22 21:24:50.000000,seek_video,,,,1444.431493,,onSlideSeek
2014-10-22 21:24:50.000000,play_video,1444.431493,,,,1444.431493,
2014-12-10 03:21:00.000000,load_video,None,,,,None,
2014-12-10 03:21:02.000000,play_video,1481,,,,1481,
2014-12-10 03:21:05.000000,seek_video,,,,1484.862333,,onSlideSeek
2014-12-10 03:21:05.000000,play_video,126,,,,126,
