wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-10 23:39:48.000000,load_video,None,,,,None,
2014-12-10 23:39:50.000000,play_video,0,,,,0,
2014-12-10 23:40:22.000000,load_video,None,,,,None,
2014-12-10 23:40:25.000000,play_video,4,,,,4,
2014-12-10 23:40:37.000000,speed_change_video,None,2.0,1.50,,None,
2014-12-10 23:41:02.000000,speed_change_video,None,1.50,2.0,,None,
2014-12-10 23:42:30.000000,pause_video,203.1892,,,,203.1892,
2014-12-10 23:42:30.000000,stop_video,203.1892,,,,203.1892,
2014-12-10 23:43:46.000000,load_video,None,,,,None,
2014-12-10 23:50:47.000000,load_video,None,,,,None,
2014-12-10 23:50:49.000000,play_video,0,,,,0,
2014-12-10 23:50:58.000000,speed_change_video,None,2.0,1.50,,None,
2014-12-10 23:55:10.000000,load_video,None,,,,None,
2014-12-10 23:55:17.000000,play_video,155,,,,155,
2014-12-10 23:55:41.000000,pause_video,203.120918,,,,203.120918,
2014-12-10 23:55:41.000000,stop_video,203.120918,,,,203.120918,
