wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-08 18:27:27.000000,load_video,None,,,,None,
2014-10-12 03:11:14.000000,load_video,None,,,,None,
2014-10-12 03:11:16.000000,play_video,0,,,,0,
2014-10-12 03:13:06.000000,speed_change_video,None,2.0,1.0,,None,
2014-10-12 03:13:13.000000,speed_change_video,None,1.50,2.0,,None,
2014-10-12 03:14:12.000000,pause_video,211.856026,,,,211.856026,
2014-10-12 05:31:22.000000,load_video,None,,,,None,
2014-10-12 05:31:24.000000,play_video,211,,,,211,
2014-10-12 05:31:32.000000,speed_change_video,None,1.0,1.50,,None,
2014-10-12 05:34:28.000000,pause_video,399.640458,,,,399.640458,
2014-10-12 05:36:44.000000,play_video,399.640458,,,,399.640458,
2014-10-12 05:37:30.000000,seek_video,,,,446.311637,,onSlideSeek
2014-10-12 05:37:31.000000,play_video,446.311637,,,,446.311637,
2014-10-12 05:39:56.000000,pause_video,198.677786,,,,198.677786,
2014-10-12 05:43:06.000000,load_video,None,,,,None,
2014-11-09 01:02:59.000000,load_video,None,,,,None,
2014-11-09 01:03:03.000000,play_video,198,,,,198,
2014-11-09 01:03:06.000000,seek_video,,,,201.289914,,onSlideSeek
2014-11-09 01:03:07.000000,play_video,201.289914,,,,201.289914,
2014-11-09 01:03:09.000000,seek_video,,,,1.949404,,onSlideSeek
2014-11-09 01:03:09.000000,play_video,1.949404,,,,1.949404,
2014-11-09 01:03:18.000000,speed_change_video,None,2.0,1.0,,None,
2014-11-09 01:06:37.000000,pause_video,433.389048,,,,433.389048,
2014-11-09 01:48:34.000000,play_video,433.389048,,,,433.389048,
2014-11-09 01:48:42.000000,speed_change_video,None,1.50,2.0,,None,
2014-11-09 01:48:47.000000,pause_video,457.488975,,,,457.488975,
2014-11-09 02:37:45.000000,play_video,457.488975,,,,457.488975,
2014-11-09 02:38:07.000000,pause_video,492.221267,,,,492.221267,
2014-11-09 02:38:09.000000,play_video,492.221267,,,,492.221267,
2014-11-09 02:45:46.000000,pause_video,1176.192038,,,,1176.192038,
2014-11-09 04:01:34.000000,play_video,1176.192038,,,,1176.192038,
2014-11-09 04:05:29.000000,pause_video,1528.303047,,,,1528.303047,
2014-11-09 04:05:29.000000,stop_video,1528.303047,,,,1528.303047,
2014-11-09 04:50:33.000000,load_video,None,,,,None,
2014-11-09 07:00:12.000000,load_video,None,,,,None,
2014-12-10 22:22:46.000000,load_video,None,,,,None,
2014-12-10 22:22:47.000000,play_video,0,,,,0,
2014-12-10 22:22:54.000000,seek_video,,,,10.334385,,onSlideSeek
2014-12-10 22:22:55.000000,play_video,79,,,,79,
2014-12-10 22:22:57.000000,seek_video,,,,82.577558,,onSlideSeek
2014-12-10 22:22:58.000000,play_video,82.577558,,,,82.577558,
2014-12-10 22:22:58.000000,seek_video,,,,244.512606,,onSlideSeek
2014-12-10 22:22:58.000000,play_video,244.512606,,,,244.512606,
2014-12-10 22:22:59.000000,seek_video,,,,336.930554,,onSlideSeek
2014-12-10 22:22:59.000000,play_video,336.930554,,,,336.930554,
2014-12-10 22:23:04.000000,seek_video,,,,446.712168,,onSlideSeek
2014-12-10 22:23:04.000000,play_video,446.712168,,,,446.712168,
2014-12-10 22:23:21.000000,pause_video,535.997393,,,,535.997393,
2014-12-10 22:23:39.000000,play_video,535.997393,,,,535.997393,
2014-12-10 22:24:19.000000,pause_video,596.007763,,,,596.007763,
2014-12-10 22:24:20.000000,play_video,596.007763,,,,596.007763,
2014-12-10 22:25:32.000000,seek_video,,,,703.455228,,onSlideSeek
2014-12-10 22:25:32.000000,play_video,88,,,,88,
2014-12-10 22:25:37.000000,seek_video,,,,94.712168,,onSlideSeek
2014-12-10 22:25:37.000000,play_video,94.712168,,,,94.712168,
2014-12-10 22:25:38.000000,seek_video,,,,792.731621,,onSlideSeek
2014-12-10 22:25:39.000000,play_video,792.731621,,,,792.731621,
2014-12-10 22:25:40.000000,pause_video,870.000212,,,,870.000212,
