wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-03 19:20:16.000000,load_video,None,,,,None,
2014-10-03 19:20:19.000000,play_video,0,,,,0,
2014-10-03 19:21:56.000000,speed_change_video,None,1.50,2.0,,None,
2014-10-03 19:22:29.000000,pause_video,243.235131,,,,243.235131,
2014-10-03 19:22:33.000000,seek_video,,,,243.235131,,onSlideSeek
2014-10-03 19:22:34.000000,play_video,225,,,,225,
2014-10-03 19:22:34.000000,pause_video,225.683105,,,,225.683105,
2014-10-03 19:33:39.000000,play_video,225.683105,,,,225.683105,
2014-10-03 19:33:47.000000,pause_video,237.588782,,,,237.588782,
2014-10-03 19:33:57.000000,play_video,237.588782,,,,237.588782,
2014-10-03 19:34:02.000000,pause_video,245.98866,,,,245.98866,
2014-10-03 19:34:04.000000,seek_video,,,,245.98866,,onSlideSeek
2014-10-03 19:34:18.000000,play_video,233,,,,233,
2014-10-03 19:35:15.000000,pause_video,318.035547,,,,318.035547,
2014-10-03 19:35:47.000000,play_video,318.035547,,,,318.035547,
2014-10-03 19:36:52.000000,pause_video,415.07657,,,,415.07657,
2014-10-03 19:37:26.000000,play_video,415.07657,,,,415.07657,
2014-10-03 19:37:33.000000,pause_video,426.090692,,,,426.090692,
2014-10-03 19:37:33.000000,stop_video,426.090692,,,,426.090692,
