wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-29 08:19:00.000000,load_video,None,,,,None,
2014-11-29 08:19:07.000000,play_video,0,,,,0,
2014-11-29 08:22:22.000000,pause_video,291.334859,,,,291.334859,
2014-11-29 08:22:28.000000,play_video,291.334859,,,,291.334859,
2014-11-29 08:23:31.000000,pause_video,385.965766,,,,385.965766,
2014-11-29 08:23:31.000000,stop_video,385.965766,,,,385.965766,
2014-12-11 16:10:52.000000,load_video,None,,,,None,
2014-12-11 16:10:56.000000,seek_video,,,,385,,onSlideSeek
2014-12-11 16:10:59.000000,play_video,4,,,,4,
2014-12-11 16:11:00.000000,play_video,4,,,,4,
2014-12-11 16:12:15.000000,pause_video,153.379929,,,,153.379929,
2014-12-11 16:12:27.000000,play_video,153.379929,,,,153.379929,
2014-12-11 16:12:28.000000,play_video,153.53435,,,,153.53435,
2014-12-11 16:12:31.000000,seek_video,,,,11.182975,,onSlideSeek
2014-12-11 16:12:31.000000,play_video,11.182975,,,,11.182975,
2014-12-11 16:12:33.000000,seek_video,,,,45.796029,,onSlideSeek
2014-12-11 16:12:33.000000,play_video,46.258426,,,,46.258426,
2014-12-11 16:12:35.000000,seek_video,,,,77.049887,,onSlideSeek
2014-12-11 16:12:35.000000,play_video,77.049887,,,,77.049887,
2014-12-11 16:12:37.000000,seek_video,,,,108.885794,,onSlideSeek
2014-12-11 16:12:37.000000,play_video,108.885794,,,,108.885794,
2014-12-11 16:12:59.000000,pause_video,180.009267,,,,180.009267,
2014-12-11 16:14:07.000000,play_video,180.009267,,,,180.009267,
2014-12-11 16:15:06.000000,pause_video,297.498544,,,,297.498544,
2014-12-11 16:15:11.000000,play_video,297.498544,,,,297.498544,
