wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-10 23:17:58.000000,load_video,None,,,,None,
2014-11-10 23:18:02.000000,play_video,0,,,,0,
2014-11-10 23:18:18.000000,seek_video,,,,31.078053,,onSlideSeek
2014-11-10 23:18:18.000000,play_video,31.078053,,,,31.078053,
2014-11-10 23:18:18.000000,seek_video,,,,41,,onSlideSeek
2014-11-10 23:18:18.000000,play_video,41,,,,41,
2014-11-10 23:18:19.000000,seek_video,,,,52,,onSlideSeek
2014-11-10 23:18:19.000000,play_video,52,,,,52,
2014-11-10 23:18:19.000000,seek_video,,,,64,,onSlideSeek
2014-11-10 23:18:20.000000,play_video,64,,,,64,
2014-11-10 23:18:21.000000,seek_video,,,,80.143953,,onSlideSeek
2014-11-10 23:18:21.000000,play_video,80.143953,,,,80.143953,
2014-11-10 23:18:22.000000,seek_video,,,,98.302121,,onSlideSeek
2014-11-10 23:18:22.000000,play_video,98.302121,,,,98.302121,
2014-11-10 23:18:22.000000,seek_video,,,,113,,onSlideSeek
2014-11-10 23:18:22.000000,play_video,113,,,,113,
2014-11-10 23:18:42.000000,seek_video,,,,164.467564,,onSlideSeek
2014-11-10 23:18:42.000000,play_video,164.467564,,,,164.467564,
2014-11-10 23:18:43.000000,seek_video,,,,186.903416,,onSlideSeek
2014-11-10 23:18:43.000000,play_video,186.903416,,,,186.903416,
2014-11-10 23:18:44.000000,seek_video,,,,197,,onSlideSeek
2014-11-10 23:18:44.000000,play_video,197,,,,197,
2014-11-10 23:18:45.000000,seek_video,,,,213.487298,,onSlideSeek
2014-11-10 23:18:45.000000,play_video,213.487298,,,,213.487298,
2014-11-10 23:19:09.000000,pause_video,268.504935,,,,268.504935,
2014-11-10 23:19:22.000000,play_video,268.504935,,,,268.504935,
