wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-01 04:26:14.000000,load_video,None,,,,None,
2014-10-01 04:26:27.000000,play_video,0,,,,0,
2014-10-01 04:27:32.000000,pause_video,65.066666,,,,65.066666,
2014-10-01 04:28:05.000000,play_video,65.066666,,,,65.066666,
2014-10-01 04:28:41.000000,pause_video,100.600045,,,,100.600045,
2014-10-01 04:29:22.000000,play_video,100.600045,,,,100.600045,
2014-10-01 04:30:42.000000,pause_video,180.46721,,,,180.46721,
2014-10-01 04:31:00.000000,play_video,180.46721,,,,180.46721,
2014-10-01 04:42:12.000000,pause_video,852.533922,,,,852.533922,
2014-10-01 04:43:34.000000,play_video,852.533922,,,,852.533922,
2014-10-01 04:46:11.000000,seek_video,,,,1009.4,,onSlideSeek
2014-10-01 04:46:11.000000,play_video,1009.4,,,,1009.4,
2014-10-01 04:46:15.000000,seek_video,,,,1087.933628,,onSlideSeek
2014-10-01 04:46:16.000000,play_video,1087.933628,,,,1087.933628,
2014-10-05 00:44:51.000000,load_video,None,,,,None,
2014-10-05 00:45:02.000000,play_video,852,,,,852,
2014-10-05 00:45:19.000000,pause_video,868.600385,,,,868.600385,
2014-10-05 01:01:42.000000,play_video,868.600385,,,,868.600385,
2014-10-05 01:02:33.000000,pause_video,919.666666,,,,919.666666,
2014-10-05 04:10:08.000000,load_video,None,,,,None,
2014-10-05 04:10:22.000000,play_video,919,,,,919,
2014-10-05 04:10:24.000000,play_video,919,,,,919,
2014-10-05 04:10:27.000000,seek_video,,,,922.800544,,onSlideSeek
2014-10-05 04:10:28.000000,play_video,922.800544,,,,922.800544,
2014-10-05 04:11:58.000000,pause_video,106.400249,,,,106.400249,
2014-10-05 04:13:48.000000,play_video,106.400249,,,,106.400249,
2014-10-05 04:32:15.000000,pause_video,1213.466666,,,,1213.466666,
2014-10-05 04:32:15.000000,stop_video,1213.466666,,,,1213.466666,
2014-10-06 01:35:11.000000,load_video,None,,,,None,
2014-10-06 01:35:20.000000,play_video,0,,,,0,
2014-10-06 01:35:40.000000,seek_video,,,,18.534625,,onSlideSeek
2014-10-06 01:35:40.000000,play_video,18.534625,,,,18.534625,
2014-10-06 01:35:43.000000,seek_video,,,,212.001405,,onSlideSeek
2014-10-06 01:35:43.000000,play_video,212.001405,,,,212.001405,
2014-10-06 01:35:48.000000,seek_video,,,,353.334421,,onSlideSeek
2014-10-06 01:35:48.000000,play_video,353.334421,,,,353.334421,
2014-10-06 01:35:54.000000,seek_video,,,,433.199977,,onSlideSeek
2014-10-06 01:35:54.000000,play_video,433.199977,,,,433.199977,
2014-10-06 01:36:22.000000,seek_video,,,,537.4,,onSlideSeek
2014-10-06 01:36:22.000000,play_video,537.4,,,,537.4,
2014-10-06 01:36:27.000000,seek_video,,,,578.733922,,onSlideSeek
2014-10-06 01:36:28.000000,play_video,578.733922,,,,578.733922,
2014-10-06 01:36:31.000000,pause_video,633.200385,,,,633.200385,
2014-10-06 01:37:22.000000,play_video,633.200385,,,,633.200385,
2014-10-06 01:38:13.000000,pause_video,684.8,,,,684.8,
2014-10-06 09:51:46.000000,load_video,None,,,,None,
2014-10-06 09:51:53.000000,play_video,684,,,,684,
2014-10-06 09:51:55.000000,seek_video,,,,684.133333,,onSlideSeek
2014-10-06 09:51:55.000000,play_video,217,,,,217,
2014-10-06 09:51:57.000000,play_video,217,,,,217,
2014-10-06 09:51:58.000000,play_video,217,,,,217,
2014-10-06 09:51:59.000000,play_video,217,,,,217,
2014-10-06 09:52:00.000000,play_video,217,,,,217,
2014-10-06 09:52:01.000000,seek_video,,,,217.200294,,onSlideSeek
2014-10-06 09:52:01.000000,play_video,217.200294,,,,217.200294,
2014-10-06 09:52:02.000000,play_video,491,,,,491,
2014-10-06 09:52:04.000000,seek_video,,,,493.535986,,onSlideSeek
2014-10-06 09:52:05.000000,play_video,493.535986,,,,493.535986,
2014-10-06 09:52:06.000000,seek_video,,,,650.933401,,onSlideSeek
2014-10-06 09:52:06.000000,play_video,650.933401,,,,650.933401,
2014-10-06 09:52:09.000000,seek_video,,,,825.266689,,onSlideSeek
2014-10-06 09:52:10.000000,play_video,825.266689,,,,825.266689,
2014-10-06 09:52:11.000000,seek_video,,,,906.666689,,onSlideSeek
2014-10-06 09:52:12.000000,play_video,906.666689,,,,906.666689,
2014-10-06 09:52:13.000000,seek_video,,,,1008.4,,onSlideSeek
2014-10-06 09:52:13.000000,play_video,1008.4,,,,1008.4,
2014-10-06 09:52:15.000000,seek_video,,,,1105.800544,,onSlideSeek
2014-10-06 09:52:16.000000,play_video,1105.800544,,,,1105.800544,
2014-10-06 09:52:18.000000,pause_video,105.200068,,,,105.200068,
