wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-08 17:02:16.000000,load_video,None,,,,None,
2014-10-08 17:02:26.000000,load_video,None,,,,None,
2014-10-08 17:06:06.000000,play_video,0,,,,0,
2014-10-08 17:10:12.000000,seek_video,,,,367.989776,,onSlideSeek
2014-10-08 17:10:12.000000,play_video,367.989776,,,,367.989776,
2014-10-08 17:25:00.000000,pause_video,1679.849011,,,,1679.849011,
2014-10-08 17:25:01.000000,play_video,1679.849011,,,,1679.849011,
2014-10-08 17:26:15.000000,pause_video,1790.576119,,,,1790.576119,
2014-10-08 17:26:15.000000,stop_video,1790.576119,,,,1790.576119,
2014-10-22 18:32:18.000000,load_video,None,,,,None,
2014-10-23 01:33:09.000000,load_video,None,,,,None,
