wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-09-26 22:53:54.000000,load_video,None,,,,None,
2014-09-26 22:54:50.000000,seek_video,,,,0,,onCaptionSeek
2014-09-26 22:55:00.000000,seek_video,,,,0.67,,onCaptionSeek
2014-09-26 22:55:07.000000,seek_video,,,,16.7,,onCaptionSeek
2014-09-26 22:55:18.000000,seek_video,,,,21.31,,onCaptionSeek
2014-09-26 22:56:38.000000,play_video,30.96,,,,30.96,
2014-09-26 22:56:40.000000,pause_video,32.196391,,,,32.196391,
2014-09-26 23:45:40.000000,seek_video,,,,32.196391,,onCaptionSeek
2014-09-26 23:46:01.000000,seek_video,,,,50.45,,onCaptionSeek
2014-09-26 23:46:11.000000,seek_video,,,,355.17,,onCaptionSeek
2014-09-26 23:46:12.000000,seek_video,,,,291.66,,onCaptionSeek
2014-09-26 23:46:13.000000,seek_video,,,,286.34,,onCaptionSeek
2014-09-26 23:46:15.000000,seek_video,,,,281.46,,onCaptionSeek
2014-09-26 23:46:17.000000,seek_video,,,,268.55,,onCaptionSeek
2014-09-26 23:46:19.000000,seek_video,,,,258.029,,onCaptionSeek
2014-09-26 23:46:21.000000,seek_video,,,,245.46,,onCaptionSeek
2014-09-26 23:46:25.000000,seek_video,,,,235.5,,onCaptionSeek
2014-09-26 23:46:26.000000,seek_video,,,,222.12,,onCaptionSeek
2014-09-26 23:46:27.000000,seek_video,,,,223.2,,onCaptionSeek
2014-09-26 23:46:27.000000,seek_video,,,,224.46,,onCaptionSeek
2014-09-26 23:46:28.000000,seek_video,,,,226.28,,onCaptionSeek
2014-09-26 23:46:28.000000,seek_video,,,,230.34,,onCaptionSeek
2014-09-26 23:46:29.000000,seek_video,,,,231.88,,onCaptionSeek
2014-09-26 23:46:30.000000,seek_video,,,,233.19,,onCaptionSeek
2014-09-26 23:46:30.000000,seek_video,,,,235.5,,onCaptionSeek
2014-09-26 23:46:32.000000,seek_video,,,,237.64,,onCaptionSeek
2014-09-26 23:46:32.000000,seek_video,,,,239.1,,onCaptionSeek
2014-09-26 23:46:33.000000,seek_video,,,,241.34,,onCaptionSeek
2014-09-27 04:46:08.000000,load_video,None,,,,None,
