wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-01 00:19:37.000000,load_video,None,,,,None,
2014-12-01 00:19:38.000000,play_video,0,,,,0,
2014-12-01 00:19:44.000000,pause_video,6.192921,,,,6.192921,
2014-12-01 00:19:55.000000,play_video,6.192921,,,,6.192921,
2014-12-01 00:20:30.000000,pause_video,40.858891,,,,40.858891,
2014-12-01 00:21:39.000000,play_video,40.858891,,,,40.858891,
2014-12-01 00:23:19.000000,pause_video,140.770252,,,,140.770252,
2014-12-01 00:23:43.000000,play_video,140.770252,,,,140.770252,
2014-12-01 00:25:07.000000,pause_video,224.962351,,,,224.962351,
2014-12-01 00:26:31.000000,play_video,224.962351,,,,224.962351,
2014-12-01 00:28:04.000000,seek_video,,,,317.350755,,onSlideSeek
2014-12-01 00:28:04.000000,play_video,317.350755,,,,317.350755,
2014-12-01 00:28:08.000000,pause_video,279.824582,,,,279.824582,
2014-12-01 00:28:09.000000,play_video,279.824582,,,,279.824582,
2014-12-01 00:28:09.000000,pause_video,280.822999,,,,280.822999,
2014-12-01 00:28:10.000000,play_video,280.822999,,,,280.822999,
2014-12-01 00:28:10.000000,pause_video,281.287379,,,,281.287379,
2014-12-01 00:28:11.000000,play_video,281.287379,,,,281.287379,
2014-12-01 00:28:11.000000,pause_video,282.007168,,,,282.007168,
2014-12-01 00:28:37.000000,play_video,282.007168,,,,282.007168,
2014-12-01 00:28:40.000000,seek_video,,,,284.398728,,onSlideSeek
2014-12-01 00:28:40.000000,play_video,284.398728,,,,284.398728,
2014-12-01 00:28:42.000000,seek_video,,,,332.665215,,onSlideSeek
2014-12-01 00:28:42.000000,play_video,332.665215,,,,332.665215,
2014-12-01 00:28:44.000000,seek_video,,,,308.409806,,onSlideSeek
2014-12-01 00:28:44.000000,play_video,308.409806,,,,308.409806,
2014-12-01 00:32:49.000000,seek_video,,,,538.162868,,onSlideSeek
2014-12-01 00:32:50.000000,play_video,538.162868,,,,538.162868,
2014-12-01 00:32:52.000000,seek_video,,,,487.24569,,onSlideSeek
2014-12-01 00:32:52.000000,play_video,487.24569,,,,487.24569,
2014-12-01 00:32:54.000000,pause_video,420.874186,,,,420.874186,
2014-12-01 01:15:14.000000,play_video,420.874186,,,,420.874186,
2014-12-01 01:17:18.000000,pause_video,545.211934,,,,545.211934,
2014-12-01 01:18:53.000000,play_video,545.211934,,,,545.211934,
2014-12-01 01:21:44.000000,pause_video,716.707471,,,,716.707471,
2014-12-01 01:21:45.000000,play_video,716.707471,,,,716.707471,
2014-12-01 01:21:46.000000,pause_video,716.939661,,,,716.939661,
2014-12-01 01:21:46.000000,play_video,716.939661,,,,716.939661,
2014-12-01 01:21:46.000000,pause_video,717.543355,,,,717.543355,
2014-12-01 01:21:47.000000,play_video,717.543355,,,,717.543355,
2014-12-01 01:21:47.000000,pause_video,717.845202,,,,717.845202,
2014-12-01 01:21:48.000000,play_video,717.845202,,,,717.845202,
2014-12-01 01:21:54.000000,seek_video,,,,723.766047,,onSlideSeek
2014-12-01 01:21:54.000000,play_video,723.766047,,,,723.766047,
2014-12-01 01:22:02.000000,pause_video,711.702155,,,,711.702155,
2014-12-01 01:22:03.000000,play_video,711.702155,,,,711.702155,
2014-12-01 01:22:03.000000,pause_video,712.189754,,,,712.189754,
2014-12-01 01:22:05.000000,seek_video,,,,712.189754,,onSlideSeek
2014-12-01 01:22:06.000000,play_video,706,,,,706,
2014-12-01 01:22:06.000000,pause_video,706,,,,706,
2014-12-01 01:22:07.000000,play_video,706,,,,706,
2014-12-01 01:22:07.000000,pause_video,706.272075,,,,706.272075,
2014-12-01 01:22:07.000000,play_video,706.272075,,,,706.272075,
2014-12-01 01:22:07.000000,pause_video,706.527484,,,,706.527484,
2014-12-01 01:22:08.000000,play_video,706.527484,,,,706.527484,
2014-12-01 01:22:10.000000,pause_video,707.54912,,,,707.54912,
2014-12-01 01:22:10.000000,play_video,707.54912,,,,707.54912,
2014-12-01 01:22:11.000000,pause_video,708.663632,,,,708.663632,
2014-12-01 01:22:11.000000,play_video,708.663632,,,,708.663632,
2014-12-01 01:22:12.000000,pause_video,709.429859,,,,709.429859,
2014-12-01 01:22:13.000000,play_video,709.429859,,,,709.429859,
2014-12-01 01:22:13.000000,pause_video,709.545954,,,,709.545954,
2014-12-01 01:22:59.000000,play_video,709.545954,,,,709.545954,
2014-12-01 01:23:11.000000,pause_video,720.992924,,,,720.992924,
2014-12-01 04:57:18.000000,play_video,720.992924,,,,720.992924,
2014-12-01 04:57:26.000000,pause_video,729.537521,,,,729.537521,
2014-12-01 05:13:47.000000,play_video,729.537521,,,,729.537521,
2014-12-01 05:15:01.000000,pause_video,804.442019,,,,804.442019,
