wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-30 05:38:49.000000,load_video,None,,,,None,
2014-11-30 05:38:51.000000,play_video,0,,,,0,
2014-11-30 05:45:37.000000,pause_video,405.373968,,,,405.373968,
2014-11-30 07:29:33.000000,play_video,405.373968,,,,405.373968,
2014-11-30 07:30:25.000000,seek_video,,,,458.127539,,onSlideSeek
2014-11-30 07:30:25.000000,play_video,458.127539,,,,458.127539,
2014-11-30 07:30:30.000000,seek_video,,,,291.544371,,onSlideSeek
2014-11-30 07:30:30.000000,play_video,291.544371,,,,291.544371,
2014-11-30 07:30:31.000000,seek_video,,,,318.550703,,onSlideSeek
2014-11-30 07:30:31.000000,play_video,318.550703,,,,318.550703,
2014-11-30 07:30:37.000000,seek_video,,,,327.519569,,onSlideSeek
2014-11-30 07:30:37.000000,play_video,327.519569,,,,327.519569,
2014-11-30 07:30:38.000000,seek_video,,,,329.829331,,onSlideSeek
2014-11-30 07:30:38.000000,play_video,329.829331,,,,329.829331,
2014-11-30 07:30:39.000000,seek_video,,,,331.481046,,onSlideSeek
2014-11-30 07:30:39.000000,play_video,331.481046,,,,331.481046,
2014-11-30 07:30:40.000000,seek_video,,,,343.690017,,onSlideSeek
2014-11-30 07:30:40.000000,play_video,343.690017,,,,343.690017,
2014-11-30 07:30:41.000000,seek_video,,,,352.643579,,onSlideSeek
2014-11-30 07:30:41.000000,play_video,352.643579,,,,352.643579,
2014-11-30 07:33:32.000000,pause_video,534.792413,,,,534.792413,
2014-11-30 07:36:16.000000,play_video,534.792413,,,,534.792413,
2014-11-30 07:41:26.000000,pause_video,844.533876,,,,844.533876,
2014-11-30 07:41:26.000000,stop_video,844.533876,,,,844.533876,
2014-12-11 00:08:45.000000,load_video,None,,,,None,
2014-12-11 00:08:49.000000,play_video,0,,,,0,
2014-12-11 00:10:06.000000,pause_video,114.055146,,,,114.055146,
2014-12-11 00:10:22.000000,play_video,114.055146,,,,114.055146,
2014-12-11 00:13:26.000000,pause_video,390.841212,,,,390.841212,
2014-12-11 00:14:18.000000,play_video,390.841212,,,,390.841212,
2014-12-11 00:14:20.000000,seek_video,,,,394.776892,,onSlideSeek
2014-12-11 00:14:21.000000,play_video,394.776892,,,,394.776892,
