wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-21 03:46:18.000000,load_video,None,,,,None,
2014-11-21 03:46:24.000000,load_video,None,,,,None,
2014-11-21 04:13:48.000000,load_video,None,,,,None,
2014-11-21 04:13:50.000000,play_video,0,,,,0,
2014-11-21 04:15:12.000000,seek_video,,,,123.216301,,onSlideSeek
2014-11-21 04:15:12.000000,play_video,123.216301,,,,123.216301,
2014-11-21 04:15:14.000000,play_video,123.655161,,,,123.655161,
2014-11-21 04:15:14.000000,seek_video,,,,123.655161,,onSlideSeek
2014-11-21 04:15:17.000000,seek_video,,,,135.691178,,onSlideSeek
2014-11-21 04:15:17.000000,play_video,135.691178,,,,135.691178,
2014-11-21 04:16:31.000000,seek_video,,,,254.427941,,onSlideSeek
2014-11-21 04:16:31.000000,play_video,254.427941,,,,254.427941,
2014-11-21 04:16:43.000000,seek_video,,,,258.217029,,onSlideSeek
2014-11-21 04:16:43.000000,play_video,258.217029,,,,258.217029,
2014-11-21 04:16:46.000000,seek_video,,,,216.056794,,onSlideSeek
2014-11-21 04:16:46.000000,play_video,216.056794,,,,216.056794,
2014-11-21 04:17:55.000000,stop_video,294.501846,,,,294.501846,
2014-11-21 04:17:55.000000,pause_video,294.501846,,,,294.501846,
