wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-21 03:45:32.000000,load_video,None,,,,None,
2014-11-21 03:46:35.000000,load_video,None,,,,None,
2014-11-21 03:54:58.000000,play_video,0,,,,0,
2014-11-21 03:55:11.000000,seek_video,,,,19.060722,,onSlideSeek
2014-11-21 03:55:11.000000,play_video,19.060722,,,,19.060722,
2014-11-21 03:55:15.000000,seek_video,,,,69.853911,,onSlideSeek
2014-11-21 03:55:15.000000,play_video,69.853911,,,,69.853911,
2014-11-21 03:56:16.000000,play_video,206.936851,,,,206.936851,
2014-11-21 03:56:16.000000,seek_video,,,,206.936851,,onSlideSeek
2014-11-21 03:56:18.000000,seek_video,,,,189.617685,,onSlideSeek
2014-11-21 03:56:19.000000,play_video,189.617685,,,,189.617685,
2014-11-21 03:56:39.000000,seek_video,,,,244.051053,,onSlideSeek
2014-11-21 03:56:40.000000,play_video,244.051053,,,,244.051053,
2014-11-21 03:56:43.000000,seek_video,,,,274.507374,,onSlideSeek
2014-11-21 03:56:43.000000,play_video,274.507374,,,,274.507374,
2014-11-21 03:56:47.000000,seek_video,,,,278.231925,,onSlideSeek
2014-11-21 03:56:47.000000,play_video,278.231925,,,,278.231925,
2014-11-21 03:56:49.000000,seek_video,,,,303.73532,,onSlideSeek
2014-11-21 03:56:49.000000,play_video,303.73532,,,,303.73532,
2014-11-21 04:00:23.000000,seek_video,,,,605.062267,,onSlideSeek
2014-11-21 04:00:23.000000,play_video,605.062267,,,,605.062267,
2014-11-21 04:00:24.000000,seek_video,,,,627.606449,,onSlideSeek
2014-11-21 04:00:24.000000,play_video,627.606449,,,,627.606449,
2014-11-21 04:00:28.000000,seek_video,,,,652.485679,,onSlideSeek
2014-11-21 04:00:28.000000,play_video,652.485679,,,,652.485679,
2014-11-21 04:00:31.000000,seek_video,,,,680.048616,,onSlideSeek
2014-11-21 04:00:31.000000,play_video,680.048616,,,,680.048616,
2014-11-21 04:00:33.000000,play_video,701.872196,,,,701.872196,
2014-11-21 04:00:33.000000,seek_video,,,,701.872196,,onSlideSeek
2014-11-21 04:00:35.000000,seek_video,,,,738.057924,,onSlideSeek
2014-11-21 04:00:35.000000,play_video,738.057924,,,,738.057924,
2014-11-21 04:00:37.000000,seek_video,,,,704.511221,,onSlideSeek
2014-11-21 04:00:37.000000,play_video,704.511221,,,,704.511221,
2014-11-21 04:00:44.000000,seek_video,,,,732.184849,,onSlideSeek
2014-11-21 04:00:44.000000,play_video,732.184849,,,,732.184849,
2014-11-21 04:00:53.000000,seek_video,,,,763.075137,,onSlideSeek
2014-11-21 04:00:53.000000,play_video,763.075137,,,,763.075137,
2014-11-21 04:00:57.000000,seek_video,,,,793.351927,,onSlideSeek
2014-11-21 04:00:58.000000,play_video,793.351927,,,,793.351927,
