wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-16 22:47:53.000000,load_video,None,,,,None,
2014-11-16 22:47:55.000000,play_video,0,,,,0,
2014-11-16 22:49:15.000000,pause_video,119.472565,,,,119.472565,
2014-11-16 22:49:27.000000,seek_video,,,,119.472565,,onSlideSeek
2014-11-16 22:49:27.000000,play_video,18,,,,18,
2014-11-16 22:50:39.000000,pause_video,125.070044,,,,125.070044,
2014-11-16 22:50:39.000000,stop_video,125.070044,,,,125.070044,
2014-12-08 09:10:30.000000,load_video,None,,,,None,
2014-12-08 09:11:10.000000,load_video,None,,,,None,
2014-12-08 09:11:12.000000,play_video,0,,,,0,
2014-12-08 09:11:14.000000,seek_video,,,,1.379634,,onSlideSeek
2014-12-08 09:11:14.000000,play_video,1.379634,,,,1.379634,
2014-12-08 09:11:16.000000,seek_video,,,,16.302418,,onSlideSeek
2014-12-08 09:11:16.000000,play_video,16.302418,,,,16.302418,
2014-12-08 09:11:17.000000,seek_video,,,,32.151939,,onSlideSeek
2014-12-08 09:11:17.000000,play_video,32.151939,,,,32.151939,
2014-12-08 09:11:18.000000,seek_video,,,,54.333417,,onSlideSeek
2014-12-08 09:11:18.000000,play_video,54.333417,,,,54.333417,
2014-12-08 09:11:19.000000,seek_video,,,,74.816766,,onSlideSeek
2014-12-08 09:11:19.000000,play_video,74.816766,,,,74.816766,
2014-12-08 09:11:20.000000,seek_video,,,,111.267215,,onSlideSeek
2014-12-08 09:11:20.000000,play_video,111.267215,,,,111.267215,
