wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-09 00:43:33.000000,load_video,None,,,,None,
2014-10-09 00:52:41.000000,load_video,None,,,,None,
2014-10-09 00:52:48.000000,play_video,0,,,,0,
2014-10-09 00:53:37.000000,seek_video,,,,72.115689,,onSlideSeek
2014-10-09 00:53:37.000000,play_video,72.115689,,,,72.115689,
2014-10-09 00:53:41.000000,seek_video,,,,675.61621,,onSlideSeek
2014-10-09 00:54:01.000000,seek_video,,,,675.61621,,onSlideSeek
2014-10-09 00:54:23.000000,play_video,245,,,,245,
2014-10-09 00:54:39.000000,pause_video,151.369256,,,,151.369256,
2014-10-09 00:55:47.000000,load_video,None,,,,None,
2014-10-09 00:56:24.000000,play_video,151,,,,151,
2014-10-09 00:56:26.000000,seek_video,,,,153.891525,,onSlideSeek
2014-10-09 00:56:26.000000,play_video,153.891525,,,,153.891525,
2014-10-09 00:56:30.000000,seek_video,,,,197.259586,,onSlideSeek
2014-10-09 00:56:30.000000,play_video,197.259586,,,,197.259586,
2014-10-09 00:57:02.000000,load_video,None,,,,None,
2014-10-09 00:58:18.000000,play_video,151,,,,151,
2014-10-09 00:58:41.000000,pause_video,184.93736,,,,184.93736,
2014-10-09 00:58:58.000000,play_video,184.93736,,,,184.93736,
2014-10-09 00:59:45.000000,pause_video,254.97769,,,,254.97769,
2014-10-09 01:00:04.000000,play_video,254.97769,,,,254.97769,
2014-10-09 01:00:47.000000,pause_video,319.688036,,,,319.688036,
2014-10-09 01:01:21.000000,play_video,319.688036,,,,319.688036,
2014-10-09 01:02:11.000000,pause_video,393.221739,,,,393.221739,
2014-10-09 01:02:11.000000,play_video,393.221739,,,,393.221739,
2014-10-09 01:02:19.000000,pause_video,405.150397,,,,405.150397,
2014-10-11 22:46:51.000000,load_video,None,,,,None,
2014-10-19 06:23:47.000000,load_video,None,,,,None,
2014-10-19 19:58:03.000000,load_video,None,,,,None,
2014-10-19 19:58:09.000000,seek_video,,,,405,,onSlideSeek
2014-10-19 19:58:26.000000,load_video,None,,,,None,
2014-10-19 19:58:29.000000,seek_video,,,,405,,onSlideSeek
2014-10-19 19:58:30.000000,play_video,33,,,,33,
2014-10-19 20:00:06.000000,load_video,None,,,,None,
2014-10-19 20:00:12.000000,play_video,163,,,,163,
2014-10-19 20:03:20.000000,pause_video,444.749278,,,,444.749278,
2014-10-19 20:04:36.000000,play_video,444.749278,,,,444.749278,
2014-10-19 20:05:24.000000,pause_video,517.446614,,,,517.446614,
2014-10-19 20:06:15.000000,play_video,517.446614,,,,517.446614,
2014-10-19 20:09:29.000000,pause_video,808.855551,,,,808.855551,
2014-10-19 20:11:15.000000,play_video,808.855551,,,,808.855551,
2014-10-19 20:11:47.000000,pause_video,857.291072,,,,857.291072,
2014-10-19 20:12:48.000000,play_video,857.291072,,,,857.291072,
2014-10-19 20:13:33.000000,pause_video,925.789063,,,,925.789063,
2014-10-19 20:13:33.000000,stop_video,925.789063,,,,925.789063,
