wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-20 00:05:14.000000,load_video,None,,,,None,
2014-10-20 00:05:16.000000,play_video,0,,,,0,
2014-10-20 00:07:01.000000,pause_video,104.482425,,,,104.482425,
2014-10-20 00:45:16.000000,play_video,104.482425,,,,104.482425,
2014-10-20 00:45:44.000000,pause_video,134.160748,,,,134.160748,
2014-10-20 00:48:55.000000,play_video,134.160748,,,,134.160748,
2014-10-20 00:55:57.000000,pause_video,555.672383,,,,555.672383,
2014-10-20 01:00:56.000000,play_video,555.672383,,,,555.672383,
2014-10-20 01:03:31.000000,pause_video,710.123356,,,,710.123356,
2014-10-20 01:03:31.000000,stop_video,710.123356,,,,710.123356,
2014-10-20 03:49:15.000000,load_video,None,,,,None,
2014-10-20 03:49:17.000000,play_video,0,,,,0,
2014-10-20 03:49:22.000000,seek_video,,,,7.4369,,onSlideSeek
2014-10-20 03:49:22.000000,play_video,7.4369,,,,7.4369,
2014-10-20 03:49:23.000000,seek_video,,,,41.894253,,onSlideSeek
2014-10-20 03:49:23.000000,play_video,41.894253,,,,41.894253,
2014-10-20 03:49:36.000000,seek_video,,,,97.92777,,onSlideSeek
2014-10-20 03:49:36.000000,play_video,97.92777,,,,97.92777,
2014-10-20 03:49:43.000000,seek_video,,,,147.98994,,onSlideSeek
2014-10-20 03:49:43.000000,play_video,147.98994,,,,147.98994,
2014-10-20 03:49:44.000000,seek_video,,,,196.118769,,onSlideSeek
2014-10-20 03:49:44.000000,play_video,196.118769,,,,196.118769,
2014-10-20 03:49:53.000000,pause_video,243.454508,,,,243.454508,
