wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-10 06:04:36.000000,load_video,None,,,,None,
2014-12-10 06:16:15.000000,load_video,None,,,,None,
2014-12-10 06:16:17.000000,play_video,0,,,,0,
2014-12-10 06:16:40.000000,pause_video,45.040919,,,,45.040919,
2014-12-10 06:19:47.000000,play_video,45.040919,,,,45.040919,
2014-12-10 06:25:16.000000,seek_video,,,,701.181851,,onSlideSeek
2014-12-10 06:25:16.000000,play_video,537,,,,537,
2014-12-10 06:32:38.000000,load_video,None,,,,None,
2014-12-10 06:32:40.000000,play_video,45,,,,45,
2014-12-10 06:32:42.000000,seek_video,,,,48.849378,,onSlideSeek
2014-12-10 06:32:43.000000,play_video,1013,,,,1013,
2014-12-10 06:32:45.000000,seek_video,,,,1017.871039,,onSlideSeek
2014-12-10 06:32:45.000000,play_video,1017.871039,,,,1017.871039,
2014-12-10 06:32:47.000000,seek_video,,,,1136.900926,,onSlideSeek
2014-12-10 06:32:47.000000,play_video,1137.363323,,,,1137.363323,
2014-12-10 06:32:48.000000,seek_video,,,,1189.109463,,onSlideSeek
2014-12-10 06:32:48.000000,play_video,1189.109463,,,,1189.109463,
2014-12-10 06:34:05.000000,pause_video,1490.431889,,,,1490.431889,
2014-12-10 06:34:19.000000,play_video,1490.431889,,,,1490.431889,
2014-12-10 06:34:19.000000,pause_video,1491.823073,,,,1491.823073,
2014-12-10 06:34:24.000000,play_video,1491.823073,,,,1491.823073,
2014-12-10 06:35:20.000000,pause_video,1604.718647,,,,1604.718647,
2014-12-10 06:35:21.000000,stop_video,1604.718647,,,,1604.718647,
2014-12-10 06:57:28.000000,load_video,None,,,,None,
2014-12-10 06:57:30.000000,play_video,1604,,,,1604,
2014-12-10 06:57:31.000000,seek_video,,,,1604.34521,,onSlideSeek
2014-12-10 06:57:32.000000,play_video,522,,,,522,
2014-12-10 06:57:33.000000,seek_video,,,,524.179559,,onSlideSeek
2014-12-10 06:57:33.000000,play_video,401,,,,401,
2014-12-10 06:57:34.000000,seek_video,,,,402.390092,,onSlideSeek
2014-12-10 06:57:35.000000,play_video,154,,,,154,
2014-12-10 06:57:36.000000,seek_video,,,,155.250774,,onSlideSeek
2014-12-10 06:57:37.000000,play_video,56,,,,56,
2014-12-10 06:57:37.000000,seek_video,,,,56.64507,,onSlideSeek
2014-12-10 06:57:38.000000,play_video,626,,,,626,
2014-12-10 06:57:38.000000,seek_video,,,,627.01858,,onSlideSeek
2014-12-10 06:57:40.000000,play_video,23,,,,23,
2014-12-10 06:57:44.000000,seek_video,,,,30.982463,,onSlideSeek
2014-12-10 06:57:44.000000,play_video,30.982463,,,,30.982463,
2014-12-10 06:57:45.000000,seek_video,,,,119.318878,,onSlideSeek
2014-12-10 06:57:46.000000,play_video,119.318878,,,,119.318878,
2014-12-10 06:57:46.000000,seek_video,,,,162.295219,,onSlideSeek
2014-12-10 06:57:47.000000,play_video,162.808045,,,,162.808045,
2014-12-10 06:57:48.000000,seek_video,,,,205.015466,,onSlideSeek
2014-12-10 06:57:48.000000,play_video,205.015466,,,,205.015466,
2014-12-10 06:57:49.000000,seek_video,,,,204.620295,,onSlideSeek
2014-12-10 06:57:50.000000,play_video,205.133122,,,,205.133122,
2014-12-10 06:57:51.000000,seek_video,,,,278.781273,,onSlideSeek
2014-12-10 06:57:51.000000,play_video,279.245665,,,,279.245665,
2014-12-10 06:57:53.000000,seek_video,,,,337.272437,,onSlideSeek
2014-12-10 06:57:53.000000,play_video,337.272437,,,,337.272437,
2014-12-10 06:57:54.000000,seek_video,,,,395.75961,,onSlideSeek
2014-12-10 06:57:54.000000,play_video,396.270439,,,,396.270439,
2014-12-10 06:58:23.000000,seek_video,,,,683.836456,,onSlideSeek
2014-12-10 06:58:23.000000,play_video,683.836456,,,,683.836456,
2014-12-10 06:58:27.000000,pause_video,719.077333,,,,719.077333,
2014-12-10 06:58:30.000000,play_video,719.077333,,,,719.077333,
2014-12-10 07:00:13.000000,seek_video,,,,925.127863,,onSlideSeek
2014-12-10 07:00:13.000000,play_video,925.638694,,,,925.638694,
2014-12-10 07:00:15.000000,seek_video,,,,1005.756494,,onSlideSeek
2014-12-10 07:00:15.000000,play_video,598,,,,598,
2014-12-10 07:00:17.000000,seek_video,,,,601.292104,,onSlideSeek
2014-12-10 07:00:17.000000,play_video,601.849372,,,,601.849372,
2014-12-10 07:00:23.000000,seek_video,,,,645.933206,,onSlideSeek
2014-12-10 07:00:23.000000,play_video,645.933206,,,,645.933206,
2014-12-10 07:00:24.000000,seek_video,,,,685.551074,,onSlideSeek
2014-12-10 07:00:25.000000,play_video,685.551074,,,,685.551074,
2014-12-10 07:00:47.000000,pause_video,727.696209,,,,727.696209,
