wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-09-28 21:27:01.000000,load_video,None,,,,None,
2014-09-28 21:27:02.000000,play_video,0,,,,0,
2014-09-28 21:30:30.000000,seek_video,,,,259.62752,,onSlideSeek
2014-09-28 21:30:30.000000,play_video,259.62752,,,,259.62752,
2014-09-28 21:30:31.000000,seek_video,,,,150.665436,,onSlideSeek
2014-09-28 21:30:31.000000,play_video,150.665436,,,,150.665436,
2014-09-28 21:32:24.000000,seek_video,,,,249.567508,,onCaptionSeek
2014-09-28 21:32:24.000000,play_video,249.567508,,,,249.567508,
2014-09-28 21:32:25.000000,pause_video,238.117502,,,,238.117502,
2014-09-28 21:32:26.000000,play_video,238.117502,,,,238.117502,
2014-09-28 21:32:27.000000,pause_video,239.788752,,,,239.788752,
2014-09-28 21:32:52.000000,play_video,239.788752,,,,239.788752,
2014-09-28 21:35:21.000000,pause_video,426.157503,,,,426.157503,
2014-09-28 21:35:21.000000,stop_video,426.157503,,,,426.157503,
2014-10-03 22:57:31.000000,load_video,None,,,,None,
2014-10-03 22:57:34.000000,play_video,0,,,,0,
2014-10-03 22:57:35.000000,seek_video,,,,1.909645,,onSlideSeek
2014-10-03 22:57:35.000000,play_video,1.909645,,,,1.909645,
2014-10-03 22:57:46.000000,speed_change_video,None,1.25,2.0,,None,
2014-10-03 22:57:48.000000,seek_video,,,,44.51313,,onSlideSeek
2014-10-03 22:57:48.000000,play_video,44.51313,,,,44.51313,
2014-10-03 22:57:49.000000,seek_video,,,,87.053762,,onSlideSeek
2014-10-03 22:57:49.000000,play_video,87.053762,,,,87.053762,
2014-10-03 22:57:51.000000,seek_video,,,,123.31785,,onSlideSeek
2014-10-03 22:57:52.000000,play_video,123.31785,,,,123.31785,
2014-10-03 22:57:54.000000,seek_video,,,,150.93877,,onSlideSeek
2014-10-03 22:57:54.000000,play_video,150.93877,,,,150.93877,
2014-10-03 22:58:00.000000,seek_video,,,,184.912514,,onSlideSeek
2014-10-03 22:58:00.000000,play_video,184.912514,,,,184.912514,
2014-10-03 22:59:26.000000,pause_video,343.762502,,,,343.762502,
2014-10-05 11:09:58.000000,load_video,None,,,,None,
2014-10-05 11:10:00.000000,play_video,343,,,,343,
2014-10-05 11:10:06.000000,seek_video,,,,350.264346,,onSlideSeek
2014-10-05 11:10:06.000000,play_video,350.264346,,,,350.264346,
2014-10-05 11:10:18.000000,seek_video,,,,289.91638,,onSlideSeek
2014-10-05 11:10:19.000000,play_video,289.91638,,,,289.91638,
2014-10-05 11:10:29.000000,pause_video,288.055005,,,,288.055005,
