wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-23 00:04:22.000000,load_video,None,,,,None,
2014-10-23 00:08:04.000000,play_video,0,,,,0,
2014-10-23 00:09:41.000000,seek_video,,,,192.314438,,onSlideSeek
2014-10-23 00:09:41.000000,play_video,192.314438,,,,192.314438,
2014-10-23 00:16:27.000000,pause_video,958.992217,,,,958.992217,
2014-10-23 00:18:14.000000,play_video,958.992217,,,,958.992217,
2014-10-23 00:18:50.000000,pause_video,1029.85282,,,,1029.85282,
2014-10-23 00:19:48.000000,play_video,1029.85282,,,,1029.85282,
2014-10-23 00:20:07.000000,seek_video,,,,1069.431949,,onSlideSeek
2014-10-23 00:20:07.000000,play_video,1069.431949,,,,1069.431949,
2014-10-23 00:24:17.000000,pause_video,1528.099472,,,,1528.099472,
2014-10-23 00:24:17.000000,stop_video,1528.099472,,,,1528.099472,
2014-10-23 00:24:48.000000,seek_video,,,,1528.099472,,onSlideSeek
2014-10-23 00:24:48.000000,play_video,1467,,,,1467,
2014-10-23 00:25:19.000000,pause_video,1528.095426,,,,1528.095426,
2014-10-23 00:25:19.000000,stop_video,1528.095426,,,,1528.095426,
2014-12-07 04:37:20.000000,load_video,None,,,,None,
2014-12-07 04:37:24.000000,load_video,None,,,,None,
2014-12-07 04:47:05.000000,load_video,None,,,,None,
2014-12-07 04:47:07.000000,play_video,0,,,,0,
2014-12-07 04:47:08.000000,seek_video,,,,1.812908,,onSlideSeek
2014-12-07 04:47:08.000000,play_video,1.812908,,,,1.812908,
2014-12-07 04:47:09.000000,seek_video,,,,74.081117,,onSlideSeek
2014-12-07 04:47:10.000000,play_video,74.081117,,,,74.081117,
2014-12-07 04:47:10.000000,seek_video,,,,149.942576,,onSlideSeek
2014-12-07 04:47:11.000000,play_video,149.942576,,,,149.942576,
2014-12-07 04:47:17.000000,seek_video,,,,219.944764,,onSlideSeek
2014-12-07 04:47:17.000000,play_video,219.944764,,,,219.944764,
2014-12-07 04:47:18.000000,seek_video,,,,219.449747,,onSlideSeek
2014-12-07 04:47:18.000000,play_video,219.449747,,,,219.449747,
2014-12-07 04:47:20.000000,seek_video,,,,155.197335,,onSlideSeek
2014-12-07 04:47:20.000000,play_video,155.197335,,,,155.197335,
2014-12-07 04:47:22.000000,pause_video,120.363421,,,,120.363421,
2014-12-07 04:47:23.000000,play_video,120.363421,,,,120.363421,
2014-12-07 04:47:24.000000,seek_video,,,,122.190573,,onSlideSeek
2014-12-07 04:47:24.000000,play_video,122.190573,,,,122.190573,
2014-12-07 04:47:25.000000,seek_video,,,,225.809244,,onSlideSeek
2014-12-07 04:47:25.000000,play_video,225.809244,,,,225.809244,
2014-12-07 04:47:28.000000,seek_video,,,,267.358331,,onSlideSeek
2014-12-07 04:47:28.000000,play_video,267.358331,,,,267.358331,
2014-12-07 04:47:29.000000,seek_video,,,,323.432638,,onSlideSeek
2014-12-07 04:47:29.000000,play_video,323.432638,,,,323.432638,
2014-12-07 04:47:30.000000,seek_video,,,,322.425755,,onSlideSeek
2014-12-07 04:47:30.000000,play_video,322.425755,,,,322.425755,
2014-12-07 04:47:31.000000,seek_video,,,,379.229196,,onSlideSeek
2014-12-07 04:47:31.000000,play_video,379.229196,,,,379.229196,
2014-12-07 04:47:32.000000,seek_video,,,,428.026696,,onSlideSeek
2014-12-07 04:47:32.000000,play_video,428.026696,,,,428.026696,
2014-12-07 04:47:33.000000,seek_video,,,,427.952553,,onSlideSeek
2014-12-07 04:47:33.000000,play_video,427.952553,,,,427.952553,
2014-12-07 04:47:35.000000,pause_video,389.254536,,,,389.254536,
2014-12-07 04:47:37.000000,play_video,389.254536,,,,389.254536,
2014-12-07 04:47:38.000000,seek_video,,,,391.229034,,onSlideSeek
2014-12-07 04:47:38.000000,play_video,391.229034,,,,391.229034,
2014-12-07 04:47:42.000000,seek_video,,,,485.814737,,onSlideSeek
2014-12-07 04:47:42.000000,play_video,485.814737,,,,485.814737,
2014-12-07 04:47:49.000000,pause_video,456.594131,,,,456.594131,
2014-12-07 04:47:50.000000,play_video,456.594131,,,,456.594131,
2014-12-07 04:47:52.000000,seek_video,,,,459.726035,,onSlideSeek
2014-12-07 04:47:52.000000,play_video,459.726035,,,,459.726035,
