wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-18 08:44:38.000000,load_video,None,,,,None,
2014-10-18 08:44:40.000000,play_video,0,,,,0,
2014-10-18 09:01:32.000000,pause_video,1517.617741,,,,1517.617741,
2014-10-18 09:01:32.000000,stop_video,1517.617741,,,,1517.617741,
2014-10-18 09:04:25.000000,play_video,1517.617741,,,,1517.617741,
2014-10-18 09:04:25.000000,play_video,0,,,,0,
2014-10-18 09:04:28.000000,seek_video,,,,3.592408,,onSlideSeek
2014-10-18 09:04:28.000000,play_video,3.592408,,,,3.592408,
2014-10-18 09:05:52.000000,seek_video,,,,1377.947801,,onCaptionSeek
2014-10-18 09:05:52.000000,play_video,1377.947801,,,,1377.947801,
2014-10-18 09:05:59.000000,seek_video,,,,1113.216198,,onCaptionSeek
2014-10-18 09:05:59.000000,play_video,1113.216198,,,,1113.216198,
2014-10-18 09:06:03.000000,seek_video,,,,1069.63894,,onCaptionSeek
2014-10-18 09:06:03.000000,play_video,1069.63894,,,,1069.63894,
