wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-01 03:23:47.000000,load_video,None,,,,None,
2014-10-01 03:23:51.000000,play_video,0,,,,0,
2014-10-01 03:25:06.000000,pause_video,111.913062,,,,111.913062,
2014-10-01 03:25:10.000000,seek_video,,,,111.913062,,onSlideSeek
2014-10-01 03:25:11.000000,play_video,83,,,,83,
2014-10-01 03:25:16.000000,pause_video,90.097849,,,,90.097849,
2014-10-01 03:26:00.000000,play_video,90.097849,,,,90.097849,
2014-10-01 03:27:08.000000,pause_video,192.261651,,,,192.261651,
2014-10-01 03:27:59.000000,play_video,192.261651,,,,192.261651,
2014-10-01 03:30:41.000000,seek_video,,,,434.958318,,onSlideSeek
2014-10-01 03:30:41.000000,play_video,434.958318,,,,434.958318,
2014-10-01 03:30:44.000000,seek_video,,,,391.683324,,onSlideSeek
2014-10-01 03:30:44.000000,play_video,391.683324,,,,391.683324,
2014-10-01 03:33:01.000000,pause_video,632.385737,,,,632.385737,
2014-10-01 03:33:01.000000,stop_video,632.385737,,,,632.385737,
