wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-08 23:03:37.000000,load_video,None,,,,None,
2014-12-08 23:03:41.000000,play_video,0,,,,0,
2014-12-08 23:06:20.000000,pause_video,317.154,,,,317.154,
2014-12-08 23:12:07.000000,play_video,317.154,,,,317.154,
2014-12-08 23:13:29.000000,pause_video,482.476,,,,482.476,
2014-12-08 23:21:45.000000,play_video,482.476,,,,482.476,
2014-12-08 23:21:47.000000,seek_video,,,,486.116,,onSlideSeek
2014-12-08 23:21:47.000000,play_video,486.116,,,,486.116,
2014-12-08 23:21:48.000000,seek_video,,,,575.476,,onSlideSeek
2014-12-08 23:21:48.000000,play_video,575.476,,,,575.476,
2014-12-08 23:21:52.000000,seek_video,,,,642.674,,onSlideSeek
2014-12-08 23:21:53.000000,play_video,642.674,,,,642.674,
2014-12-08 23:21:56.000000,seek_video,,,,766.516,,onSlideSeek
2014-12-08 23:21:57.000000,play_video,766.516,,,,766.516,
2014-12-08 23:21:58.000000,seek_video,,,,895.236,,onSlideSeek
2014-12-08 23:21:58.000000,play_video,895.236,,,,895.236,
2014-12-08 23:22:00.000000,seek_video,,,,955.676,,onSlideSeek
2014-12-08 23:22:00.000000,play_video,955.676,,,,955.676,
2014-12-08 23:22:01.000000,seek_video,,,,1030.474,,onSlideSeek
2014-12-08 23:22:01.000000,play_video,1030.474,,,,1030.474,
2014-12-08 23:22:03.000000,seek_video,,,,1098.396,,onSlideSeek
2014-12-08 23:22:03.000000,play_video,1098.396,,,,1098.396,
2014-12-08 23:22:07.000000,seek_video,,,,1153.756,,onSlideSeek
2014-12-08 23:22:08.000000,play_video,1153.756,,,,1153.756,
2014-12-08 23:22:08.000000,seek_video,,,,1219.314,,onSlideSeek
2014-12-08 23:22:09.000000,play_video,1219.314,,,,1219.314,
2014-12-08 23:22:12.000000,seek_video,,,,1286.316,,onSlideSeek
2014-12-08 23:22:13.000000,play_video,1286.316,,,,1286.316,
2014-12-08 23:22:14.000000,seek_video,,,,1403.556,,onSlideSeek
2014-12-08 23:22:14.000000,play_video,1403.556,,,,1403.556,
2014-12-08 23:22:20.000000,seek_video,,,,1534.796,,onSlideSeek
2014-12-08 23:22:20.000000,play_video,1534.796,,,,1534.796,
2014-12-08 23:22:23.000000,seek_video,,,,1612.076,,onSlideSeek
2014-12-08 23:22:23.000000,play_video,1612.076,,,,1612.076,
2014-12-08 23:22:24.000000,seek_video,,,,1675.914,,onSlideSeek
2014-12-08 23:22:24.000000,play_video,1675.914,,,,1675.914,
2014-12-08 23:22:28.000000,seek_video,,,,1728.716,,onSlideSeek
2014-12-08 23:22:29.000000,play_video,1728.716,,,,1728.716,
2014-12-08 23:22:30.000000,pause_video,1802.996,,,,1802.996,
2014-12-08 23:24:43.000000,seek_video,,,,1802.996,,onSlideSeek
2014-12-08 23:24:45.000000,pause_video,519,,,,519,
2014-12-08 23:24:45.000000,play_video,519,,,,519,
2014-12-08 23:24:48.000000,seek_video,,,,525.074,,onSlideSeek
2014-12-08 23:24:48.000000,play_video,525.074,,,,525.074,
2014-12-08 23:24:50.000000,seek_video,,,,415.954,,onSlideSeek
2014-12-08 23:24:51.000000,play_video,415.954,,,,415.954,
2014-12-08 23:24:53.000000,pause_video,318.714,,,,318.714,
2014-12-08 23:37:07.000000,load_video,None,,,,None,
2014-12-08 23:37:11.000000,play_video,318,,,,318,
2014-12-08 23:37:15.000000,seek_video,,,,323.942,,onSlideSeek
2014-12-08 23:37:16.000000,play_video,323.942,,,,323.942,
2014-12-08 23:37:18.000000,seek_video,,,,596.822,,onSlideSeek
2014-12-08 23:37:19.000000,play_video,596.822,,,,596.822,
2014-12-08 23:37:20.000000,seek_video,,,,720.482,,onSlideSeek
2014-12-08 23:37:20.000000,play_video,720.482,,,,720.482,
2014-12-08 23:37:21.000000,seek_video,,,,798.682,,onSlideSeek
2014-12-08 23:37:22.000000,play_video,798.682,,,,798.682,
2014-12-08 23:37:23.000000,seek_video,,,,859.602,,onSlideSeek
2014-12-08 23:37:23.000000,play_video,859.602,,,,859.602,
2014-12-08 23:37:25.000000,seek_video,,,,905.002,,onSlideSeek
2014-12-08 23:37:25.000000,play_video,905.002,,,,905.002,
2014-12-08 23:37:27.000000,seek_video,,,,982.402,,onSlideSeek
2014-12-08 23:37:27.000000,play_video,982.402,,,,982.402,
2014-12-08 23:37:36.000000,seek_video,,,,1068.382,,onSlideSeek
2014-12-08 23:37:37.000000,play_video,1068.382,,,,1068.382,
2014-12-08 23:37:39.000000,seek_video,,,,1005.122,,onSlideSeek
2014-12-08 23:37:40.000000,play_video,1005.122,,,,1005.122,
2014-12-08 23:37:40.000000,seek_video,,,,1004,,onSlideSeek
2014-12-08 23:37:40.000000,play_video,1004,,,,1004,
2014-12-08 23:37:41.000000,seek_video,,,,1070.042,,onSlideSeek
2014-12-08 23:37:41.000000,play_video,1070.042,,,,1070.042,
2014-12-08 23:37:45.000000,seek_video,,,,1141.122,,onSlideSeek
2014-12-08 23:37:45.000000,play_video,1141.122,,,,1141.122,
2014-12-08 23:37:46.000000,seek_video,,,,1223.082,,onSlideSeek
2014-12-08 23:37:46.000000,play_video,1223.082,,,,1223.082,
2014-12-08 23:37:49.000000,pause_video,1294.382,,,,1294.382,
2014-12-08 23:43:34.000000,load_video,None,,,,None,
2014-12-08 23:43:39.000000,play_video,1294,,,,1294,
2014-12-08 23:43:42.000000,pause_video,1298.862,,,,1298.862,
