wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-11 03:13:10.000000,load_video,None,,,,None,
2014-12-11 03:13:13.000000,play_video,0,,,,0,
2014-12-11 03:13:14.000000,play_video,0.092879,,,,0.092879,
2014-12-11 03:13:15.000000,play_video,2.692197,,,,2.692197,
2014-12-11 03:14:10.000000,seek_video,,,,109.945167,,onSlideSeek
2014-12-11 03:14:10.000000,play_video,73,,,,73,
2014-12-11 03:15:08.000000,seek_video,,,,186.824217,,onSlideSeek
2014-12-11 03:15:08.000000,play_video,187.427936,,,,187.427936,
2014-12-11 03:19:38.000000,pause_video,569.237006,,,,569.237006,
2014-12-11 03:19:44.000000,play_video,569.237006,,,,569.237006,
