wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-11 04:34:05.000000,load_video,None,,,,None,
2014-12-11 04:42:52.000000,load_video,None,,,,None,
2014-12-11 04:42:56.000000,play_video,0,,,,0,
2014-12-11 04:42:58.000000,seek_video,,,,2.004,,onSlideSeek
2014-12-11 04:42:59.000000,seek_video,,,,99,,onSlideSeek
2014-12-11 04:43:00.000000,play_video,99,,,,99,
2014-12-11 04:43:01.000000,play_video,15,,,,15,
2014-12-11 04:43:05.000000,seek_video,,,,21.526,,onSlideSeek
2014-12-11 04:43:06.000000,play_video,123,,,,123,
2014-12-11 04:43:07.000000,seek_video,,,,123,,onSlideSeek
2014-12-11 04:43:08.000000,play_video,172,,,,172,
2014-12-11 04:43:48.000000,pause_video,251.922,,,,251.922,
2014-12-11 04:43:51.000000,seek_video,,,,251.922,,onSlideSeek
2014-12-11 04:43:51.000000,play_video,191,,,,191,
2014-12-11 04:44:22.000000,pause_video,252.484,,,,252.484,
2014-12-11 04:44:26.000000,seek_video,,,,252.484,,onSlideSeek
2014-12-11 04:44:26.000000,play_video,226,,,,226,
2014-12-11 04:44:32.000000,speed_change_video,None,1.50,2.0,,None,
2014-12-11 04:44:52.000000,speed_change_video,None,2.0,1.50,,None,
2014-12-11 04:45:25.000000,pause_video,332.922,,,,332.922,
2014-12-11 04:45:26.000000,play_video,332.922,,,,332.922,
2014-12-11 04:46:55.000000,seek_video,,,,510.062,,onSlideSeek
2014-12-11 04:46:56.000000,play_video,549,,,,549,
2014-12-11 04:47:00.000000,seek_video,,,,555.122,,onSlideSeek
2014-12-11 04:47:00.000000,play_video,555.642,,,,555.642,
2014-12-11 04:47:05.000000,seek_video,,,,618.046,,onSlideSeek
2014-12-11 04:47:05.000000,play_video,618.046,,,,618.046,
2014-12-11 04:47:37.000000,pause_video,716.762,,,,716.762,
2014-12-11 04:47:39.000000,play_video,716.762,,,,716.762,
2014-12-11 04:48:34.000000,seek_video,,,,825.862,,onSlideSeek
2014-12-11 04:48:35.000000,play_video,784,,,,784,
2014-12-11 04:48:56.000000,seek_video,,,,824.502,,onSlideSeek
2014-12-11 04:48:56.000000,play_video,824.502,,,,824.502,
2014-12-11 04:49:10.000000,seek_video,,,,896.562,,onSlideSeek
2014-12-11 04:49:11.000000,play_video,896.562,,,,896.562,
2014-12-11 04:49:22.000000,seek_video,,,,946.262,,onSlideSeek
2014-12-11 04:49:22.000000,play_video,946.262,,,,946.262,
2014-12-11 04:49:23.000000,seek_video,,,,962,,onSlideSeek
2014-12-11 04:49:24.000000,play_video,962,,,,962,
2014-12-11 04:49:39.000000,seek_video,,,,1005.642,,onSlideSeek
2014-12-11 04:49:40.000000,play_video,1048,,,,1048,
2014-12-11 04:49:43.000000,seek_video,,,,1053.562,,onSlideSeek
2014-12-11 04:49:44.000000,play_video,1054.042,,,,1054.042,
2014-12-11 04:49:49.000000,seek_video,,,,1120.122,,onSlideSeek
2014-12-11 04:49:50.000000,play_video,1168,,,,1168,
2014-12-11 04:49:53.000000,seek_video,,,,1172.684,,onSlideSeek
2014-12-11 04:49:53.000000,play_video,1172.684,,,,1172.684,
2014-12-11 04:49:56.000000,seek_video,,,,1215.324,,onSlideSeek
2014-12-11 04:49:57.000000,play_video,1254,,,,1254,
2014-12-11 04:50:01.000000,seek_video,,,,1261.482,,onSlideSeek
2014-12-11 04:50:02.000000,play_video,1304,,,,1304,
2014-12-11 04:50:07.000000,seek_video,,,,1311.882,,onSlideSeek
2014-12-11 04:50:07.000000,play_video,1311.882,,,,1311.882,
2014-12-11 04:50:29.000000,seek_video,,,,1303.764,,onSlideSeek
2014-12-11 04:50:29.000000,play_video,1303.764,,,,1303.764,
2014-12-11 04:50:33.000000,seek_video,,,,1381.604,,onSlideSeek
2014-12-11 04:50:34.000000,play_video,1382.162,,,,1382.162,
