wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-01 16:28:05.000000,load_video,None,,,,None,
2014-10-01 16:35:00.000000,load_video,None,,,,None,
2014-10-01 16:35:02.000000,play_video,0,,,,0,
2014-10-01 16:40:02.000000,seek_video,,,,448.907257,,onSlideSeek
2014-10-01 16:40:02.000000,play_video,448.907257,,,,448.907257,
2014-10-01 16:40:03.000000,seek_video,,,,431.255278,,onSlideSeek
2014-10-01 16:40:03.000000,play_video,431.255278,,,,431.255278,
2014-10-01 16:42:31.000000,pause_video,632.472021,,,,632.472021,
2014-10-01 16:42:31.000000,stop_video,632.472021,,,,632.472021,
2014-10-22 12:15:34.000000,load_video,None,,,,None,
2014-10-22 12:15:35.000000,play_video,0,,,,0,
2014-10-22 12:15:40.000000,seek_video,,,,5.837964,,onSlideSeek
2014-10-22 12:15:40.000000,play_video,5.837964,,,,5.837964,
2014-10-22 12:15:41.000000,seek_video,,,,70.567775,,onSlideSeek
2014-10-22 12:15:41.000000,play_video,70.567775,,,,70.567775,
2014-10-22 12:15:42.000000,seek_video,,,,111.405898,,onSlideSeek
2014-10-22 12:15:42.000000,play_video,111.405898,,,,111.405898,
2014-10-22 12:15:43.000000,pause_video,160.065148,,,,160.065148,
2014-10-22 12:15:43.000000,seek_video,,,,160.065148,,onSlideSeek
2014-10-22 12:15:44.000000,seek_video,,,,226,,onSlideSeek
2014-10-22 12:15:46.000000,seek_video,,,,273,,onSlideSeek
2014-10-22 12:15:47.000000,seek_video,,,,333,,onSlideSeek
2014-10-22 12:15:47.000000,seek_video,,,,376,,onSlideSeek
2014-10-22 12:15:50.000000,seek_video,,,,417,,onSlideSeek
2014-10-22 12:15:57.000000,seek_video,,,,358,,onSlideSeek
2014-10-22 12:15:58.000000,seek_video,,,,430,,onSlideSeek
2014-10-22 12:16:00.000000,seek_video,,,,461,,onSlideSeek
2014-10-22 12:16:01.000000,seek_video,,,,499,,onSlideSeek
2014-10-22 12:16:03.000000,seek_video,,,,531,,onSlideSeek
