wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-07 21:41:52.000000,load_video,None,,,,None,
2014-10-07 21:41:57.000000,play_video,0,,,,0,
2014-10-07 21:42:10.000000,speed_change_video,None,1.50,2.0,,None,
2014-10-07 21:44:34.000000,speed_change_video,None,1.0,1.50,,None,
2014-10-07 21:44:45.000000,seek_video,,,,238.897598267,,onSlideSeek
2014-10-07 21:44:45.000000,play_video,238.897598267,,,,238.897598267,
2014-10-07 21:44:46.000000,seek_video,,,,216,,onSlideSeek
2014-10-07 21:44:46.000000,play_video,216,,,,216,
2014-10-07 21:44:47.000000,seek_video,,,,192.216918945,,onSlideSeek
2014-10-07 21:44:47.000000,play_video,192.216918945,,,,192.216918945,
2014-10-07 21:44:48.000000,seek_video,,,,173.292724609,,onSlideSeek
2014-10-07 21:44:48.000000,play_video,173.292724609,,,,173.292724609,
2014-10-07 21:44:49.000000,seek_video,,,,155.345397949,,onSlideSeek
2014-10-07 21:44:50.000000,play_video,155.345397949,,,,155.345397949,
2014-10-07 21:44:51.000000,seek_video,,,,130.799591064,,onSlideSeek
2014-10-07 21:44:51.000000,play_video,130.799591064,,,,130.799591064,
2014-10-07 21:45:04.000000,seek_video,,,,118.007156372,,onSlideSeek
2014-10-07 21:45:04.000000,play_video,118.007156372,,,,118.007156372,
2014-10-07 21:45:08.000000,seek_video,,,,92.2032470703,,onSlideSeek
2014-10-07 21:45:09.000000,seek_video,,,,92.2032470703,,onSlideSeek
2014-10-07 21:45:11.000000,seek_video,,,,92.2032470703,,onSlideSeek
2014-10-07 21:45:12.000000,seek_video,,,,92.2032470703,,onSlideSeek
2014-10-07 21:45:12.000000,seek_video,,,,92.2032470703,,onSlideSeek
2014-10-07 21:45:13.000000,seek_video,,,,92.2032470703,,onSlideSeek
2014-10-07 21:45:15.000000,seek_video,,,,92.2032470703,,onSlideSeek
2014-10-07 21:45:16.000000,seek_video,,,,92.2032470703,,onSlideSeek
2014-10-07 21:45:17.000000,seek_video,,,,92.2032470703,,onSlideSeek
2014-10-07 21:45:19.000000,seek_video,,,,92.2032470703,,onSlideSeek
2014-10-07 21:45:21.000000,seek_video,,,,92.2032470703,,onSlideSeek
2014-10-07 21:45:42.000000,pause_video,92.2032470703,,,,92.2032470703,
2014-10-07 22:57:37.000000,play_video,92.2032470703,,,,92.2032470703,
2014-10-07 22:58:05.000000,speed_change_video,None,1.25,1.0,,None,
2014-10-07 22:58:08.000000,speed_change_video,None,1.50,1.25,,None,
2014-10-07 23:00:05.000000,pause_video,515.542907715,,,,515.542907715,
2014-10-07 23:00:08.000000,play_video,515.542907715,,,,515.542907715,
2014-10-07 23:00:53.000000,pause_video,583.114807129,,,,583.114807129,
2014-10-07 23:05:50.000000,play_video,583.114807129,,,,583.114807129,
2014-10-07 23:05:50.000000,pause_video,583.666809082,,,,583.666809082,
2014-10-07 23:05:51.000000,play_video,583.666809082,,,,583.666809082,
2014-10-07 23:07:27.000000,pause_video,729.07232666,,,,729.07232666,
2014-10-07 23:07:31.000000,play_video,729.07232666,,,,729.07232666,
2014-10-07 23:08:35.000000,pause_video,824.680541992,,,,824.680541992,
2014-10-07 23:08:45.000000,play_video,824.680541992,,,,824.680541992,
2014-10-07 23:10:33.000000,pause_video,986.743652344,,,,986.743652344,
2014-10-07 23:10:35.000000,seek_video,,,,986.743652344,,onSlideSeek
2014-10-07 23:10:41.000000,play_video,973,,,,973,
2014-10-07 23:10:47.000000,seek_video,,,,980.246582031,,onSlideSeek
2014-10-07 23:11:13.000000,pause_video,980.246582031,,,,980.246582031,
2014-10-07 23:11:17.000000,play_video,980.246582031,,,,980.246582031,
2014-10-07 23:12:29.000000,speed_change_video,None,1.0,1.50,,None,
2014-10-07 23:13:09.000000,speed_change_video,None,1.25,1.0,,None,
2014-10-07 23:18:34.000000,pause_video,1528.40661621,,,,1528.40661621,
2014-10-07 23:18:35.000000,stop_video,1528.40661621,,,,1528.40661621,
2014-11-02 06:25:39.000000,load_video,None,,,,None,
2014-11-02 06:25:41.000000,play_video,0,,,,0,
2014-11-02 06:25:43.000000,seek_video,,,,1.7491838932,,onSlideSeek
2014-11-02 06:25:44.000000,seek_video,,,,1.7491838932,,onSlideSeek
2014-11-02 06:25:46.000000,seek_video,,,,1.7491838932,,onSlideSeek
2014-11-02 06:25:47.000000,seek_video,,,,1.7491838932,,onSlideSeek
2014-11-02 06:25:48.000000,seek_video,,,,1.7491838932,,onSlideSeek
2014-11-02 06:25:49.000000,seek_video,,,,1.7491838932,,onSlideSeek
2014-11-02 06:25:50.000000,seek_video,,,,1.7491838932,,onSlideSeek
2014-11-02 06:25:51.000000,seek_video,,,,1.7491838932,,onSlideSeek
2014-11-02 06:26:29.000000,pause_video,1.7491838932,,,,1.7491838932,
2014-11-02 06:26:30.000000,play_video,1.7491838932,,,,1.7491838932,
2014-11-02 06:27:28.000000,seek_video,,,,474.837615967,,onSlideSeek
2014-11-02 06:27:29.000000,seek_video,,,,474.837615967,,onSlideSeek
2014-11-02 06:27:32.000000,seek_video,,,,474.837615967,,onSlideSeek
2014-11-02 06:27:37.000000,seek_video,,,,474.837615967,,onSlideSeek
2014-11-02 06:27:38.000000,seek_video,,,,474.837615967,,onSlideSeek
2014-11-02 06:28:45.000000,seek_video,,,,474.837615967,,onSlideSeek
2014-11-02 06:28:46.000000,seek_video,,,,474.837615967,,onSlideSeek
2014-11-02 06:29:27.000000,load_video,None,,,,None,
2014-11-02 07:26:29.000000,play_video,1,,,,1,
2014-11-02 07:26:31.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:32.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:33.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:36.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:37.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:38.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:43.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:45.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:47.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:48.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:50.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:51.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:52.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:53.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:54.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:55.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:55.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:56.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:57.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:58.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:26:59.000000,seek_video,,,,1.76584124565,,onSlideSeek
2014-11-02 07:27:01.000000,pause_video,1.76584124565,,,,1.76584124565,
2014-11-02 07:27:03.000000,play_video,1.76584124565,,,,1.76584124565,
2014-11-02 07:27:04.000000,seek_video,,,,1219.15368652,,onSlideSeek
2014-11-02 07:27:05.000000,seek_video,,,,1219.15368652,,onSlideSeek
2014-11-02 07:27:52.000000,load_video,None,,,,None,
2014-11-02 07:27:55.000000,play_video,1219,,,,1219,
2014-11-02 07:27:56.000000,seek_video,,,,1219,,onSlideSeek
2014-11-02 07:27:56.000000,play_video,1219,,,,1219,
2014-11-02 07:27:57.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:27:58.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:27:59.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:00.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:00.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:01.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:07.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:08.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:09.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:10.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:11.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:12.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:14.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:18.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:19.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:20.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:21.000000,seek_video,,,,75.266204834,,onSlideSeek
2014-11-02 07:28:23.000000,seek_video,,,,75.266204834,,onSlideSeek
