video_current_time,pause_time
0,0
640,45.0
2,0
22,26.0
516,2.5
645,2.5
646,1.25
519,6.0
23,1.25
140,6.0
143,6.0
472,0
146,4.0
148,10.0
534,0
663,0.0
665,8.0
154,4.0
27,8.0
158,8.0
197,0
672,2.0
161,0
162,6.0
539,1.25
164,6.0
549,8.0
422,0
167,2.0
688,0
681,28.75
556,0
429,2.0
558,1.25
175,0
432,3.75
689,0
562,0
627,3.75
625,17.5
565,0
479,0
568,0.0
441,1.25
570,2.0
59,2.0
572,1.25
62,14.0
629,1.25
577,0
66,2.0
196,4.0
581,28.75
417,2.0
585,1.25
587,0
460,176.25
80,0.0
82,14.0
596,2.5
569,1.25
600,1.25
601,3.75
603,2.0
604,7.5
607,14.0
480,0.0
225,12.0
354,0
616,10.0
108,0
630,33.75
532,141.25
414,0
624,11.25
677,14.0
626,1.25
371,0
574,26.25
502,2.0
420,0
505,11.25
636,152.0
524,0
