wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-19 07:24:39.000000,load_video,None,,,,None,
2014-10-19 07:24:41.000000,play_video,0,,,,0,
2014-10-19 07:24:50.000000,pause_video,11.0567,,,,11.0567,
2014-10-19 07:28:04.000000,play_video,11.0567,,,,11.0567,
2014-10-19 07:28:57.000000,pause_video,77.92538,,,,77.92538,
2014-10-19 07:31:22.000000,seek_video,,,,77.92538,,onSlideSeek
2014-10-19 07:31:23.000000,seek_video,,,,125,,onSlideSeek
2014-10-19 07:31:25.000000,seek_video,,,,150,,onSlideSeek
2014-10-19 07:31:26.000000,seek_video,,,,249,,onSlideSeek
2014-10-19 07:31:28.000000,seek_video,,,,279,,onSlideSeek
2014-10-19 07:31:29.000000,seek_video,,,,320,,onSlideSeek
2014-10-19 07:31:30.000000,seek_video,,,,356,,onSlideSeek
2014-10-19 07:31:32.000000,seek_video,,,,383,,onSlideSeek
2014-10-19 07:31:33.000000,seek_video,,,,470,,onSlideSeek
2014-10-19 07:31:34.000000,seek_video,,,,502,,onSlideSeek
2014-10-19 07:31:36.000000,play_video,533,,,,533,
2014-10-19 07:31:37.000000,seek_video,,,,533.339501,,onSlideSeek
2014-10-19 07:31:37.000000,play_video,533.339501,,,,533.339501,
2014-10-19 07:31:38.000000,pause_video,584,,,,584,
2014-10-19 07:31:40.000000,seek_video,,,,584,,onSlideSeek
2014-10-22 22:17:15.000000,load_video,None,,,,None,
2014-10-22 22:17:17.000000,pause_video,633,,,,633,
2014-10-22 22:17:20.000000,play_video,633,,,,633,
2014-10-22 22:17:21.000000,pause_video,633.856192,,,,633.856192,
2014-10-22 22:17:22.000000,seek_video,,,,633.856192,,onSlideSeek
2014-10-22 22:17:22.000000,pause_video,29,,,,29,
2014-10-22 22:17:23.000000,play_video,29,,,,29,
2014-10-22 22:17:30.000000,seek_video,,,,37.707318,,onSlideSeek
2014-10-22 22:17:30.000000,play_video,37.707318,,,,37.707318,
2014-10-22 22:17:31.000000,seek_video,,,,67.528235,,onSlideSeek
2014-10-22 22:17:31.000000,play_video,67.528235,,,,67.528235,
2014-10-22 22:17:31.000000,seek_video,,,,88,,onSlideSeek
2014-10-22 22:17:32.000000,play_video,88,,,,88,
2014-10-22 22:17:38.000000,seek_video,,,,123.606794,,onSlideSeek
2014-10-22 22:17:38.000000,play_video,123.606794,,,,123.606794,
2014-10-22 22:17:39.000000,seek_video,,,,141.537324,,onSlideSeek
2014-10-22 22:17:39.000000,play_video,141.537324,,,,141.537324,
2014-10-22 22:17:40.000000,seek_video,,,,158.786054,,onSlideSeek
2014-10-22 22:17:40.000000,play_video,158.786054,,,,158.786054,
2014-10-22 22:17:40.000000,seek_video,,,,178.307477,,onSlideSeek
2014-10-22 22:17:41.000000,play_video,178.307477,,,,178.307477,
2014-10-22 22:17:41.000000,seek_video,,,,203,,onSlideSeek
2014-10-22 22:17:41.000000,play_video,203,,,,203,
2014-10-22 22:17:42.000000,seek_video,,,,219.307142,,onSlideSeek
2014-10-22 22:17:42.000000,play_video,219.307142,,,,219.307142,
2014-10-22 22:17:43.000000,seek_video,,,,240.561242,,onSlideSeek
2014-10-22 22:17:43.000000,play_video,240.561242,,,,240.561242,
2014-10-22 22:17:44.000000,seek_video,,,,263.97004,,onSlideSeek
2014-10-22 22:17:44.000000,play_video,263.97004,,,,263.97004,
2014-10-22 22:17:45.000000,seek_video,,,,282.683428,,onSlideSeek
2014-10-22 22:17:45.000000,play_video,282.683428,,,,282.683428,
2014-10-22 22:17:45.000000,seek_video,,,,300.577849,,onSlideSeek
2014-10-22 22:17:46.000000,play_video,300.577849,,,,300.577849,
2014-10-22 22:17:48.000000,pause_video,330.131297,,,,330.131297,
2014-10-22 22:18:25.000000,play_video,330.131297,,,,330.131297,
2014-10-22 22:18:44.000000,seek_video,,,,354.14483,,onSlideSeek
2014-10-22 22:18:44.000000,play_video,354.14483,,,,354.14483,
2014-10-22 22:18:44.000000,seek_video,,,,364.423707,,onSlideSeek
2014-10-22 22:18:45.000000,play_video,364.423707,,,,364.423707,
2014-10-22 22:18:54.000000,seek_video,,,,391.343553,,onSlideSeek
2014-10-22 22:18:54.000000,play_video,391.343553,,,,391.343553,
2014-10-22 22:18:56.000000,seek_video,,,,404.714969,,onSlideSeek
2014-10-22 22:18:56.000000,play_video,404.714969,,,,404.714969,
2014-10-22 22:18:58.000000,pause_video,419.504021,,,,419.504021,
2014-10-22 22:19:40.000000,play_video,419.504021,,,,419.504021,
2014-10-22 22:23:15.000000,pause_video,689.056916,,,,689.056916,
2014-10-22 22:23:16.000000,stop_video,689.056916,,,,689.056916,
