wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-17 04:30:45.000000,load_video,None,,,,None,
2014-10-17 04:36:57.000000,load_video,None,,,,None,
2014-10-17 04:37:02.000000,play_video,0,,,,0,
2014-10-17 04:37:11.000000,pause_video,11.665346,,,,11.665346,
2014-10-17 04:37:54.000000,play_video,11.665346,,,,11.665346,
2014-10-17 04:38:42.000000,pause_video,83.658913,,,,83.658913,
2014-10-17 04:45:13.000000,play_video,83.658913,,,,83.658913,
2014-10-17 04:46:22.000000,pause_video,185.997537,,,,185.997537,
2014-10-17 04:47:26.000000,play_video,185.997537,,,,185.997537,
2014-10-17 04:49:58.000000,pause_video,414.816147,,,,414.816147,
2014-10-17 04:53:46.000000,play_video,414.816147,,,,414.816147,
2014-10-17 04:56:06.000000,pause_video,625.191219,,,,625.191219,
2014-10-17 04:56:16.000000,play_video,625.191219,,,,625.191219,
2014-10-17 04:59:01.000000,pause_video,873.153479,,,,873.153479,
2014-10-17 04:59:01.000000,stop_video,873.153479,,,,873.153479,
2014-11-03 06:15:18.000000,load_video,None,,,,None,
2014-11-03 06:27:58.000000,load_video,None,,,,None,
