wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-10 02:10:09.000000,load_video,None,,,,None,
2014-12-10 05:21:15.000000,load_video,None,,,,None,
2014-12-10 05:21:18.000000,play_video,0,,,,0,
2014-12-10 05:21:24.000000,pause_video,11.420085,,,,11.420085,
2014-12-10 05:21:26.000000,play_video,11.420085,,,,11.420085,
2014-12-10 05:21:39.000000,pause_video,36.247477,,,,36.247477,
2014-12-10 05:21:53.000000,play_video,36.247477,,,,36.247477,
2014-12-10 05:21:54.000000,pause_video,37.828222,,,,37.828222,
2014-12-10 05:21:55.000000,play_video,37.828222,,,,37.828222,
2014-12-10 05:22:02.000000,pause_video,51.887671,,,,51.887671,
2014-12-10 05:22:04.000000,play_video,51.887671,,,,51.887671,
2014-12-10 05:23:43.000000,pause_video,249.166932,,,,249.166932,
2014-12-10 05:23:43.000000,stop_video,249.166932,,,,249.166932,
2014-12-15 22:33:36.000000,load_video,None,,,,None,
2014-12-15 23:11:27.000000,load_video,None,,,,None,
