videoId,second,numViews
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,0,194
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,1,190
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,2,188
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,3,190
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,4,182
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,5,181
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,6,180
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,7,177
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,8,177
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,9,178
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,10,178
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,11,177
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,12,176
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,13,177
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,14,176
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,15,175
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,16,172
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,17,174
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,18,178
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,19,179
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,20,177
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,21,175
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,22,178
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,23,181
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,24,177
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,25,175
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,26,173
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,27,173
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,28,176
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,29,177
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,30,175
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,31,174
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,32,172
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,33,168
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,34,170
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,35,167
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,36,165
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,37,164
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,38,165
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,39,162
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,40,161
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,41,163
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,42,163
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,43,170
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,44,168
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,45,171
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,46,172
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,47,172
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,48,172
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,49,174
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,50,174
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,51,174
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,52,178
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,53,174
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,54,174
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,55,176
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,56,176
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,57,176
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,58,176
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,59,179
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,60,178
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,61,180
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,62,181
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,63,183
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,64,182
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,65,184
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,66,180
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,67,175
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,68,171
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,69,168
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,70,169
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,71,163
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,72,163
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,73,161
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,74,161
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,75,160
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,76,161
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,77,161
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,78,158
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,79,159
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,80,157
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,81,155
